,Classe 1,Classe 2,Classe 3,Classe 4,Classe 5,Classe 6,Classe 7,Classe 8,Classe 9,Classe 10
Baylor1C,0.13921694144470123,0.19333540220923337,0.055861177808718285,0.10264479320192797,0.0072016604684512885,0.0013557015248681346,0.19731015932975884,0.2556099192738589,0.0367724795200485,0.010691765218433421
Miami1C,0.02645069946897438,0.38850567549591536,0.12887520023208582,0.034921967418397024,0.005927003336644002,0.001848799296966247,0.1305053877345594,0.2531062448239137,0.021408975503198036,0.008450046689345988
Standford2C,0.0616208237601153,0.19121316141961445,0.06745842812384045,0.1231521347982333,0.010346175909083764,0.007891572146119125,0.14758093909998699,0.2910755201919087,0.09213106156360025,0.007530182987497661
Yale2C,0.05362293733479091,0.26757766314470344,0.056118641826437915,0.12580324727390027,0.01000090426334182,0.004504680371002951,0.12567680681085958,0.17127177385062184,0.1751978096661523,0.010225535458188963
Ucla2C,0.06833530235382385,0.17052892154595084,0.06418747220857952,0.08862517608199268,0.008853007364760032,0.00797699400455897,0.1642459472092823,0.2657664350012305,0.15394323760389161,0.007537506625929838
Nhlbi2C,0.09837738689296147,0.2103607736505912,0.04495321277082902,0.13443165154816145,0.008925015077059305,0.009741552482449203,0.15051892298556613,0.21595951905364516,0.11815693893557211,0.008575026603164988
Cimr2C,0.09581214637725871,0.2411876130025134,0.08278771706937985,0.08224128966188751,0.009664934361058183,0.005242919314390337,0.1538225540112101,0.2519405588099853,0.07023208548377415,0.007068181908542464
Baylor2C,0.056327441208165296,0.19995171905372072,0.05424880578433033,0.11637485354402942,0.006594483810036485,0.003974637465331863,0.14236579117269588,0.24916965915807185,0.1640098776362253,0.006982731167392824
Miami2C,0.020291715613974876,0.2533814572067176,0.11221821307643094,0.0323137374743948,0.0079781045732458,0.0023626943938242313,0.17624357281333244,0.28226047903680795,0.10573508219423157,0.0072149436170398555
Standford3C,0.02691015184404991,0.1235292871481292,0.07223641477312791,0.05134563989011005,0.006543623034893641,0.0026722655251376526,0.31496524291832584,0.3350740779606055,0.06024051384554689,0.006482783060073311
Yale3C,0.03707654139812209,0.13800966887669303,0.051437375246040015,0.046430552244997224,0.007381294559982453,0.002455788770744609,0.3633030156175512,0.23347227579480495,0.11354006835796777,0.0068934191330967684
Ucla3C,0.02630259566935158,0.09019696604308726,0.07244272885317048,0.05046299009956313,0.00527841526156126,0.0020326957825303692,0.30666525358160174,0.38438429905993055,0.05478338708248084,0.007450668566722683
Nhlbi3C,0.025521837525856832,0.10710982274748858,0.07436670348519017,0.08892096560684719,0.006243283758173783,0.0018191454297811036,0.27603842110720683,0.3533579514330819,0.05887324150706537,0.007748627399308322
Cimr3C,0.023713673670059342,0.09258608385246696,0.08618400724145805,0.05795944281114126,0.005686277446241478,0.0024047663515528468,0.31825374563340003,0.35305750886087844,0.05290650184748751,0.007247992285314182
Baylor3C,0.015831112437694046,0.12147472611825715,0.10416786934883875,0.048982977103771766,0.00483257906982455,0.0015362242649303683,0.2933553485886961,0.3351741921246539,0.06743969900866734,0.00720527193466615
Miami3C,0.017063186310693743,0.10192939237839854,0.10180868067047948,0.03359989359001029,0.0051858088874533696,0.0015485757001011094,0.2328817010369381,0.44070405353822817,0.05958891805192518,0.0056897898357721344
