"","CD19/TCRgd:PE Cy7-A LOGICAL","CD4+CD20:PB-A LOGICAL","CD3:APC-A LOGICAL","CD38:APC H7-A LOGICAL","CD45:PO-A LOGICAL","CD5:PerCP Cy5-5-A LOGICAL","CD56+IgK:PE-A LOGICAL","CD8+IgL:FITC-A LOGICAL","FSC-A LINEAR","SSC-A Exp-SSC Low","Population ID (name)"
"215",2748,3832,7127,5711,5405,2058,6198,2715,1617,1372,"CD4+CD8-"
"217",2159,4785,1573,3467,4942,4429,2114,4866,3026,3260,"Monocytes"
"220",2600,4459,7013,5730,5322,1304,6135,2221,1807,1372,"CD4+CD8-"
"223",1730,3514,6963,1503,5332,2482,5927,6354,1507,1008,"CD8+CD4-"
"225",2493,2272,6657,2339,5722,2839,5954,6158,1567,1549,"CD8+CD4-"
"231",1869,913,7193,5678,5211,1969,5330,2321,2471,1082,"CD4+CD8-"
"238",2608,4497,2955,3351,5197,3219,1731,4291,3493,3011,"Monocytes"
"239",2390,1004,7053,4355,5682,4216,5111,6235,2206,1758,"CD8+CD4-"
"240",2214,4743,2571,4058,5051,4145,2403,5099,3366,3103,"Monocytes"
"242",1962,4661,7159,5673,5262,1955,5758,1836,1504,699,"CD4+CD8-"
"244",2279,4869,1559,3950,5093,3726,2695,5183,3320,3608,"Monocytes"
"247",2607,4842,7094,5716,5227,1039,5926,2116,1600,816,"CD4+CD8-"
"249",1957,3429,6965,952,5399,1006,6008,6034,1456,963,"CD8+CD4-"
"255",6275,2617,1375,6205,5449,2933,2132,6141,1812,888,"Mature SIg Lambda"
"256",1718,1695,6955,3156,5568,1748,5091,5435,1783,1227,"CD8+CD4-"
"257",1957,2941,7358,5897,5372,2038,5793,2114,1992,1179,"CD4+CD8-"
"259",2197,2944,7082,713,5339,1150,5830,6317,1461,908,"CD8+CD4-"
"260",2556,3798,6983,5790,5567,1891,6789,2059,1886,1479,"CD4+CD8-"
"261",2688,4812,2944,3913,4662,4222,1884,5008,3419,3649,"Monocytes"
"262",2167,4592,2464,4005,4874,4614,2436,4998,3090,4725,"Monocytes"
"276",2221,4675,403,2819,4815,4456,2470,4691,3052,4432,"Monocytes"
"277",2253,3213,6725,2090,5454,2275,5097,6226,1923,1059,"CD8+CD4-"
"279",2803,2165,7504,5773,5387,1552,5942,2074,1758,822,"CD4+CD8-"
"280",2331,4500,1319,3729,4467,3989,2603,4975,3201,3212,"Monocytes"
"289",2829,3489,7351,1923,5463,2141,6177,6378,1824,1295,"CD8+CD4-"
"303",2634,3507,6214,5597,5446,1561,6292,2508,1718,943,"CD4+CD8-"
"309",2167,1792,7125,5578,5159,1526,5875,1419,1339,566,"CD4+CD8-"
"314",2420,4605,7217,5878,5477,1411,6061,2248,1756,862,"CD4+CD8-"
"315",1870,1491,7108,2168,5555,2432,5611,6240,1975,1293,"CD8+CD4-"
"326",2243,1441,7175,1589,5521,1960,5761,5927,1675,1129,"CD8+CD4-"
"333",1999,2650,7011,6008,5525,1911,5642,1505,1755,1191,"CD4+CD8-"
"338",2552,2274,6996,5102,5598,4957,5081,2159,1680,1469,"CD4+CD8-"
"339",2251,2082,3200,4162,5149,3310,3426,4044,3685,6696,"Eosinophils"
"348",2075,983,7054,1793,5518,2043,4874,5431,1885,1171,"CD8+CD4-"
"349",2272,5019,2862,4046,4941,3256,2454,4726,3035,3944,"Monocytes"
"351",2322,5829,1099,3005,5244,4210,2480,5244,2257,2286,"CD56dim"
"352",2718,1573,6825,1622,5618,2250,6013,6306,1974,1570,"CD8+CD4-"
"355",2825,4531,7570,5775,5510,2088,6114,2102,1805,1138,"CD4+CD8-"
"356",2648,3897,7190,4026,5646,5150,5022,4313,2022,1312,"TCRgd-"
"362",2655,4916,2974,3614,4744,4353,2262,4901,3002,4286,"Monocytes"
"363",2509,3784,7338,5797,5203,1769,5913,2023,1830,874,"CD4+CD8-"
"375",2139,5191,2399,4494,4815,2465,2783,5033,3376,1926,"Monocytes"
"377",2426,4318,7503,5801,5447,1788,6072,1625,1749,848,"CD4+CD8-"
"378",2344,4044,7107,5720,5330,2022,5993,2182,1690,1098,"CD4+CD8-"
"380",2272,3432,6927,5695,5439,1882,6165,2250,1524,1140,"CD4+CD8-"
"384",2433,2245,3097,4232,5113,3214,3591,3735,4345,7116,"Eosinophils"
"386",2302,5170,1492,2970,4659,3257,2567,4806,3046,3378,"Monocytes"
"391",1175,1583,6936,5594,5209,1528,5731,1953,1533,960,"CD4+CD8-"
"397",2671,5171,1296,4077,5147,4410,2585,5107,3719,3705,"Monocytes"
"399",2175,2764,2705,2283,5423,5346,2201,5142,1939,1257,"CD56dim"
"400",2437,3815,2132,4170,5064,3225,2774,4479,3674,3500,"Monocytes"
"401",2439,4221,7071,976,5297,2319,5883,6104,1653,1079,"CD8+CD4-"
"402",3111,6574,0,1449,5870,5076,2052,6164,2706,2245,"CD56dim"
"404",2181,4690,1095,4001,4879,3778,2463,4573,2933,3775,"Monocytes"
"407",2412,4630,2248,3000,5101,4222,2736,4888,3237,2994,"Monocytes"
"408",2466,4732,2715,4088,5176,4414,2123,5188,3694,3344,"Monocytes"
"411",2652,1379,7517,5987,5453,2027,6687,2236,2153,1444,"CD4+CD8-"
"414",2374,3589,2512,2490,5331,4851,1595,5345,1903,1045,"CD56dim"
"417",2645,5108,7488,5673,5306,2164,6099,1694,1838,997,"CD4+CD8-"
"420",2604,2477,6862,1329,5424,2383,5316,6412,1995,1366,"CD8+CD4-"
"421",2315,2679,3189,4318,5136,3550,3511,4124,4003,6610,"Eosinophils"
"425",1944,4493,1909,3962,5291,4521,2458,5084,2986,3719,"Monocytes"
"427",1887,4073,7114,5542,5177,1753,6145,2174,1609,1065,"CD4+CD8-"
"432",2364,2069,7250,5773,5446,1903,6238,2224,1839,1320,"CD4+CD8-"
"433",2754,1692,6749,2623,5626,2086,5880,6326,1811,1210,"CD8+CD4-"
"437",1934,5064,998,1807,5413,5350,2189,5434,2171,1688,"CD56dim"
"442",3226,2295,6755,5677,5406,1592,6495,1462,1688,1474,"CD4+CD8-"
"446",1523,2750,6541,5877,5452,1630,6785,1875,2244,1522,"CD4+CD8-"
"455",2507,3471,7124,922,5578,5107,4655,6200,1935,1393,"CD8+CD4-"
"457",2045,1780,7277,5715,5427,1611,6352,2010,1675,772,"CD4+CD8-"
"462",1680,1771,7135,4095,5252,1900,5779,6464,1641,954,"CD8+CD4-"
"464",2468,4677,1189,3579,4848,4249,2490,4927,3256,3535,"Monocytes"
"465",915,3492,7122,5686,5366,1489,6466,2079,2199,1525,"CD4+CD8-"
"473",1477,1849,6938,1375,5508,1771,5506,6190,1938,1154,"CD8+CD4-"
"475",2973,1744,6563,5752,5257,1386,5677,2012,1643,769,"CD4+CD8-"
"476",2664,1651,7171,5695,5425,2237,6377,1737,1768,1073,"CD4+CD8-"
"483",2525,2870,6631,2213,5475,4463,4592,6223,1976,1325,"CD8+CD4-"
"484",2180,1673,6893,5865,5422,1508,6352,2294,1924,1039,"CD4+CD8-"
"486",2071,775,7205,5902,5556,1700,6468,1991,2101,1382,"CD4+CD8-"
"488",6063,3074,1476,6497,5301,5289,2702,2890,1913,1257,"Mature SIg Kappa"
"489",4735,5494,1573,6655,4842,3933,3978,2393,1534,810,"Mature SIg Kappa"
"497",2049,2269,6959,6018,5562,1415,6945,1569,2110,1434,"CD4+CD8-"
"500",2787,2284,7339,5724,5306,1470,6186,2240,1654,1020,"CD4+CD8-"
"506",2256,4592,1653,4075,5246,4176,2256,4996,3593,3321,"Monocytes"
"507",2508,5008,2389,3966,4861,4047,1739,5280,3145,1918,"Monocytes"
"508",2351,4398,1097,3873,4625,2918,1960,4055,2898,2408,"Monocytes"
"511",2814,2358,7323,5784,5344,2021,6352,2844,1936,1474,"CD4+CD8-"
"514",2789,3117,3181,4399,5192,3485,3862,4234,3950,7750,"Eosinophils"
"518",2754,5043,768,4077,5077,4585,1394,5303,3741,3684,"Monocytes"
"519",6139,5848,2205,7091,5393,7291,3042,3928,1861,1110,"Mature SIg Kappa"
"521",2422,2165,7336,5827,5460,1592,6294,2499,1919,1372,"CD4+CD8-"
"522",2651,2010,7201,5938,5453,1885,5355,1512,1711,882,"CD4+CD8-"
"524",2014,1823,7518,6115,5528,1450,6046,2640,2132,1418,"CD4+CD8-"
"527",6107,5629,0,7015,5684,3672,3149,6884,1888,920,"Mature SIg Lambda"
"529",1837,467,7278,2150,5584,4701,5124,6199,1660,1129,"CD8+CD4-"
"537",2428,2950,3684,4537,5360,3520,3953,3966,4265,7254,"Eosinophils"
"540",1897,1766,6926,2052,5481,1749,4791,4408,1859,1273,"TCRgd-"
"543",2401,5173,1632,3265,4850,4155,2170,5076,3668,3580,"Monocytes"
"546",1668,1614,7222,2330,5527,1775,5732,6245,1753,1317,"CD8+CD4-"
"549",2850,2384,3342,4530,5217,3362,3607,4290,3997,7102,"Eosinophils"
"553",2388,3276,3090,4327,5064,3039,3806,4087,3904,6915,"Eosinophils"
"556",2335,5669,0,3946,4898,4563,2375,5739,3539,3202,"Monocytes"
"561",2396,4920,2394,4079,5311,4232,2950,5072,3808,3561,"Monocytes"
"567",1871,763,6994,2581,5474,1645,5858,5016,2055,1087,"CD8+CD4-"
"569",1679,1569,7046,1534,5212,1229,6176,6229,1777,928,"CD8+CD4-"
"579",2248,3281,3550,4539,5223,3854,4173,4038,4206,7944,"Eosinophils"
"585",2066,2772,7079,5819,5441,2065,6083,1961,1788,1118,"CD4+CD8-"
"586",2490,4789,1978,3703,4900,4364,2070,5138,3257,3902,"Monocytes"
"589",1803,810,7501,5720,5262,2105,5995,2306,1461,784,"CD4+CD8-"
"590",2158,1229,6942,5805,5431,1090,6326,2276,1841,1210,"CD4+CD8-"
"591",2406,4519,2304,3730,4991,3696,2054,4768,2945,2783,"Monocytes"
"598",1800,744,7027,2093,5458,4448,4741,2023,1862,1290,"TCRgd-"
"605",2250,3312,7034,3816,5552,3757,4674,2243,1950,1374,"TCRgd-"
"607",2399,4914,1024,3589,4998,5052,2616,5400,3724,3550,"Monocytes"
"613",2033,1729,6971,2122,5538,2122,4604,5258,1848,1399,"CD8+CD4-"
"614",2397,3511,2515,4192,5633,4523,2660,5576,3369,2892,"Monocytes"
"617",2784,2945,2487,4562,5278,3639,4038,4370,3686,7416,"Eosinophils"
"618",1849,2287,7063,5787,5452,1855,6254,1623,1691,1000,"CD4+CD8-"
"619",2351,4157,2454,1641,5252,4325,2085,4683,2084,1254,"CD56dim"
"620",2789,1167,6651,2144,5287,2332,4376,5857,2037,1014,"CD8+CD4-"
"622",2339,4971,3286,3501,4693,4783,2214,5145,3608,3151,"Monocytes"
"628",2641,4084,7244,5850,5300,1538,5899,1548,1502,798,"CD4+CD8-"
"633",2827,3833,7132,5648,5541,1788,6687,2923,2053,1268,"CD4+CD8-"
"634",2007,2687,7372,5763,5306,1100,5793,2085,1846,1295,"CD4+CD8-"
"636",2473,4652,2182,3925,4934,4623,2511,5151,3053,3301,"Monocytes"
"643",2363,2612,3843,4610,5305,3476,3761,4440,3577,6860,"Eosinophils"
"645",2119,2357,6840,2147,5175,1842,5623,6209,1621,865,"CD8+CD4-"
"646",2167,5275,7304,5762,5484,3740,6220,3302,2200,2192,"CD4+CD8-"
"652",2527,1763,6674,1902,5594,3051,4886,6088,1638,1204,"CD8+CD4-"
"653",2551,1829,7068,3325,5582,3921,4455,5764,1852,1240,"CD8+CD4-"
"654",1887,4301,609,4232,5062,4556,3145,4920,3588,3188,"Monocytes"
"657",2258,4621,2005,3306,4840,3260,2364,4424,3138,3806,"Monocytes"
"662",2228,4652,1160,3170,4669,4202,1748,4978,2930,3171,"Monocytes"
"665",2736,3228,3650,4695,5307,3597,4096,4378,3949,7927,"Eosinophils"
"667",2442,816,6997,2581,5592,2280,5366,6476,2035,1385,"CD8+CD4-"
"668",6246,3595,2386,6281,5300,5280,2386,2760,1705,1028,"Mature SIg Kappa"
"677",2815,2232,7215,5971,5482,5150,6130,3174,2071,1701,"CD4+CD8-"
"678",2095,2230,7340,5855,5407,1738,6111,2316,2012,1334,"CD4+CD8-"
"680",1927,4022,6736,5463,5263,2198,6539,2021,1745,1025,"CD4+CD8-"
"689",1959,2245,6909,5515,5473,3964,4964,6229,1736,1388,"CD8+CD4-"
"690",2989,2911,3415,4568,5229,3607,3885,4056,4642,7181,"Eosinophils"
"698",2734,3062,6683,5739,5243,1843,6304,2285,1555,1235,"CD4+CD8-"
"699",2729,5170,7302,5726,5227,1483,6129,2379,1710,897,"CD4+CD8-"
"703",2112,1864,6850,2300,5802,1907,4810,6540,2193,1522,"CD8+CD4-"
"709",2402,3087,6942,1868,5856,1841,5518,6594,2317,1788,"CD8+CD4-"
"712",2188,4325,3220,3792,4784,4295,2422,4795,3040,3425,"Monocytes"
"713",2102,2903,7026,6021,5539,1808,6024,2269,2344,1442,"CD4+CD8-"
"714",2309,4969,1850,3641,4907,3728,2197,5065,3025,3657,"Monocytes"
"724",2471,1828,7038,2138,5683,2017,5158,6305,2103,1471,"CD8+CD4-"
"725",2425,4752,1422,3462,4753,4426,1447,4817,3291,3128,"Monocytes"
"726",2136,5193,7215,5859,5252,1637,5856,1622,1559,763,"CD4+CD8-"
"727",2451,4090,2912,4294,5242,3418,3635,4091,4325,7243,"Eosinophils"
"729",2641,4464,2476,4284,5015,4322,2244,4939,3433,3311,"Monocytes"
"735",2498,835,6935,5912,5504,1707,6296,2323,1980,1436,"CD4+CD8-"
"745",2721,5181,7346,5745,5337,1820,6638,1950,2059,1065,"CD4+CD8-"
"748",2439,4890,1429,1697,5379,5303,1236,4496,2076,1238,"CD56dim"
"751",6420,1939,2803,6374,5410,5557,2840,2199,2051,1168,"Mature SIg Kappa"
"753",2369,1920,7292,5899,5369,1524,5977,2477,2093,1138,"CD4+CD8-"
"759",5805,3221,1047,6495,5154,3163,2113,6012,1787,960,"Mature SIg Lambda"
"760",2519,4800,524,3765,4830,4535,1953,5239,3744,3686,"Monocytes"
"761",2662,1237,7017,1797,5484,2363,5878,6330,1745,1240,"CD8+CD4-"
"766",2387,1633,6842,5788,5451,1616,6407,3010,2228,1301,"CD4+CD8-"
"774",3662,917,6925,5782,5443,1494,6729,1830,2141,1407,"CD4+CD8-"
"782",3050,3147,3620,4804,5322,3650,3930,4418,4137,7405,"Eosinophils"
"786",2139,2418,3650,4370,5206,3293,3751,3785,4066,7683,"Eosinophils"
"791",6050,2498,2629,6207,4989,3100,2086,5962,1734,977,"Mature SIg Lambda"
"793",5836,5324,1135,6639,5238,6015,2465,1818,1864,943,"Mature SIg Kappa"
"794",2225,4584,2982,3996,5073,3799,2701,4923,3350,3346,"Monocytes"
"795",2556,2423,6691,1830,5722,5198,4529,6343,1774,1377,"CD8+CD4-"
"798",1814,3027,6621,2303,5214,1786,5767,6091,1583,977,"CD8+CD4-"
"799",6224,1584,592,6489,5303,6860,1505,3065,2176,1442,"Mature SIg Kappa"
"801",2240,1367,6345,5656,5122,1347,6104,1756,1807,891,"CD4+CD8-"
"805",1624,3872,6933,3365,5464,2002,6176,6368,1747,1110,"CD8+CD4-"
"814",2554,5628,1332,2352,5214,6256,740,2879,2215,1140,"CD56bright"
"815",2366,5171,464,2206,5248,4234,2919,4999,2246,1434,"CD56dim"
"820",2223,1606,7355,6030,5654,1457,3760,3024,2253,1578,"CD4+CD8-"
"822",2372,3930,2075,4106,5285,3766,2745,4542,3125,3214,"Monocytes"
"827",2519,5157,2149,4211,5084,4354,2797,5202,3487,3681,"Monocytes"
"830",2375,3451,6215,1472,5514,820,6050,6249,2407,1366,"CD8+CD4-"
"831",1954,2942,3284,4415,5182,3219,3734,3956,4159,6677,"Eosinophils"
"842",2342,4427,1083,4332,5257,5327,1971,5325,3546,2932,"Monocytes"
"846",2171,4320,2297,4210,4901,3585,2190,4648,3121,3909,"Monocytes"
"848",2353,4595,2084,4028,4801,4067,2683,4957,3472,3512,"Monocytes"
"850",2398,3815,3330,4230,5040,3259,3291,4144,4328,6920,"Eosinophils"
"857",2184,4684,1767,3812,5096,4515,2833,5179,3537,3456,"Monocytes"
"859",3835,3488,3656,4765,5206,3593,3887,4280,4015,7465,"Eosinophils"
"861",2287,1173,7209,2023,5592,2079,3856,6542,1947,1325,"CD8+CD4-"
"862",2323,5216,2195,4035,5013,4198,2715,5050,2762,4038,"Monocytes"
"866",2136,2231,7226,2501,5236,2271,5768,6150,1598,859,"CD8+CD4-"
"867",2382,4458,1286,3788,4786,4053,1677,4589,3386,2902,"Monocytes"
"872",1955,1895,6697,2389,5543,1433,5277,6212,2124,1347,"CD8+CD4-"
"873",2241,4672,1754,3851,4978,3449,2735,4549,3464,3469,"Monocytes"
"874",2379,1509,7055,5818,5279,1399,4529,1818,1710,871,"CD4+CD8-"
"875",5905,2613,474,7170,5393,7889,956,3327,2847,2527,"Mature SIg Kappa"
"877",2294,1613,7097,2149,5345,2042,5263,5677,1628,1262,"CD8+CD4-"
"879",2875,4197,7237,5753,5355,2059,6307,2044,1912,2107,"CD4+CD8-"
"880",2410,2397,3147,4260,5091,3004,3773,3726,4223,7137,"Eosinophils"
"897",2513,4926,7119,1382,5525,2304,6354,6421,1693,943,"CD8+CD4-"
"898",2743,3541,3779,3915,5145,3362,2250,4126,4110,6315,"Eosinophils"
"899",1820,3009,6579,1960,5346,2299,5755,6083,1814,991,"CD8+CD4-"
"902",2026,4857,2407,3732,4853,4169,1863,5015,3448,3668,"Monocytes"
"903",1825,2254,6970,6081,5534,1995,6496,1827,2054,1293,"CD4+CD8-"
"906",2193,5208,1652,2171,5423,4643,2258,5166,2028,1591,"CD56dim"
"907",2150,4195,3069,3816,4823,3655,2673,4732,3639,2645,"Monocytes"
"918",1834,4378,6810,5693,5165,1232,5808,2335,1792,943,"CD4+CD8-"
"919",2513,3769,7365,5785,5548,1801,5702,1522,1666,977,"CD4+CD8-"
"920",2389,5345,1202,2792,5547,5044,1214,5368,2520,1768,"CD56dim"
"921",2526,4529,560,3932,4694,3964,2271,4958,3311,3896,"Monocytes"
"925",2210,3121,7081,5555,5110,2058,6034,2052,1781,914,"CD4+CD8-"
"926",2003,3997,6894,1871,5231,1843,5766,5111,1370,728,"CD8+CD4-"
"928",2800,3666,1937,3723,4898,4432,1849,4648,3429,2604,"Monocytes"
"929",2540,1402,7201,3448,5563,3300,5591,6147,1989,1388,"CD8+CD4-"
"931",2560,6074,3680,2206,5575,3683,2123,5080,2331,1978,"CD56dim"
"932",2647,3027,7041,5809,5346,2466,6476,2245,2199,1138,"CD4+CD8-"
"933",2347,4831,289,3338,4943,3449,2869,4906,3809,3670,"Monocytes"
"934",2468,2876,7123,5766,5561,1791,6643,2226,1874,1163,"CD4+CD8-"
"935",2002,3063,6899,5555,5133,2115,5627,1659,1694,1121,"CD4+CD8-"
"937",3095,3336,6872,4954,5569,2038,5606,6453,2274,1347,"CD8+CD4-"
"939",2289,4575,2209,4173,4998,2858,2261,4412,3227,4336,"Monocytes"
"940",2032,3960,7411,5792,5399,1513,5472,1932,1893,1232,"CD4+CD8-"
"941",2526,5003,1102,3748,5336,4525,2212,5226,3123,4181,"Monocytes"
"944",1898,5151,1754,3070,4823,4184,3009,5171,3380,2937,"Monocytes"
"945",2069,3877,7370,5818,5297,1871,5944,2221,1502,746,"CD4+CD8-"
"956",2478,3709,6961,2173,5557,4706,5050,2209,2136,1235,"TCRgd-"
"961",2858,4826,2483,4218,5383,5556,1424,5604,4153,3196,"Monocytes"
"963",2560,4334,1346,3910,4691,3816,1739,4768,3046,3315,"Monocytes"
"965",2164,4913,2471,3028,5011,4843,2735,5258,3387,3118,"Monocytes"
"967",6231,4211,3108,6909,5607,3252,3628,6808,1655,1008,"Mature SIg Lambda"
"971",1487,4070,7327,5729,5220,1701,5815,1715,1420,957,"CD4+CD8-"
"973",6558,4509,831,6862,5630,3726,2445,6900,1990,1207,"Mature SIg Lambda"
"978",6161,4021,1053,6605,5293,2471,2764,5495,1761,983,"Mature SIg Lambda"
"983",1444,411,6790,5490,5617,2502,5411,6458,2407,1218,"CD8+CD4-"
"984",2717,2774,7438,6063,5483,2262,5158,1887,2101,1279,"CD4+CD8-"
"987",1825,1751,7154,3321,5673,2540,5708,6338,1815,1312,"CD8+CD4-"
"993",2855,3292,3739,4559,5241,3516,4004,4200,4453,7639,"Eosinophils"
"994",2365,3233,6999,5489,5333,1438,5787,1984,1527,720,"CD4+CD8-"
"1005",2266,4172,2456,3958,4894,3443,2433,4609,3376,2975,"Monocytes"
"1009",2331,4777,1777,2561,5431,4825,2367,4695,2028,1210,"CD56dim"
"1012",2491,2046,3514,4432,5372,3704,3949,4006,3972,7503,"Eosinophils"
"1017",2349,5562,964,4257,5088,4394,2398,5395,2796,4509,"Monocytes"
"1018",1859,4439,7236,5785,5386,1537,6043,1721,1683,980,"CD4+CD8-"
"1030",6172,1172,3103,6700,4993,3513,2114,4986,1619,1124,"Mature SIg Lambda"
"1048",2874,2427,2970,4545,5125,3390,3993,3977,3466,7611,"Eosinophils"
"1050",2440,4011,2147,4081,5205,3941,2049,4875,3425,3679,"Monocytes"
"1052",2245,5067,602,3752,4923,4717,1922,5289,3157,3569,"Monocytes"
"1055",3287,3058,3166,4714,5247,3461,4053,4561,3957,7285,"Eosinophils"
"1057",2738,803,7395,2226,5738,2391,5287,6377,2250,1599,"CD8+CD4-"
"1058",2668,3811,7041,5650,5252,1765,6046,2357,1595,830,"CD4+CD8-"
"1059",1635,3315,7344,5708,5385,1992,6099,2284,1970,1174,"CD4+CD8-"
"1061",5808,2011,2806,6766,5581,3377,2953,7222,2146,1163,"Mature SIg Lambda"
"1063",2496,2463,3079,4379,5162,3440,3766,4172,4122,7514,"Eosinophils"
"1065",2704,3888,6990,2275,5379,2684,5995,6394,1699,1177,"CD8+CD4-"
"1069",2511,1595,6586,1738,5598,2276,4302,6433,2039,1262,"CD8+CD4-"
"1071",1731,3360,7214,5686,5087,2242,5944,1164,1586,825,"CD4+CD8-"
"1075",2940,3891,2444,3733,4822,4045,2046,4537,2731,4060,"Monocytes"
"1077",2124,4382,1853,3850,4902,4008,2446,5223,3328,3384,"Monocytes"
"1081",2538,3860,3261,4395,5140,3497,3966,4104,4656,7135,"Eosinophils"
"1085",2085,5045,1757,3810,4860,3509,2681,5097,3880,3344,"Monocytes"
"1089",2202,1600,6907,5742,5240,1167,5666,1891,1500,693,"CD4+CD8-"
"1093",2554,4930,702,3870,4884,4523,2379,4986,3304,3423,"Monocytes"
"1094",2737,6047,7496,5905,5478,1830,5952,2146,1628,1163,"CD4+CD8-"
"1096",6358,4849,1690,6845,5329,5327,3393,2763,1843,1549,"Mature SIg Kappa"
"1104",1805,3135,7035,5620,5203,1793,5884,2273,2061,1229,"CD4+CD8-"
"1106",2241,1351,7193,1674,5370,1197,5751,6226,1435,871,"CD8+CD4-"
"1107",2361,2039,7221,5594,5133,1910,6088,1887,1557,1031,"CD4+CD8-"
"1109",6326,4311,1913,6720,5430,2959,3441,6885,1852,1207,"Mature SIg Lambda"
"1119",2062,855,7115,2404,5590,2385,5224,4292,2132,1471,"TCRgd-"
"1121",2521,2627,6925,1677,5557,5178,3312,1851,2067,1290,"TCRgd-"
"1138",2410,3004,6801,1795,5670,2454,5115,6190,2179,1485,"CD8+CD4-"
