"","CD19/TCRgd:PE Cy7-A LOGICAL","CD4+CD20:PB-A LOGICAL","CD3:APC-A LOGICAL","CD38:APC H7-A LOGICAL","CD45:PO-A LOGICAL","CD5:PerCP Cy5-5-A LOGICAL","CD56+IgK:PE-A LOGICAL","CD8+IgL:FITC-A LOGICAL","FSC-A LINEAR","SSC-A Exp-SSC Low","Population ID (name)"
"400",2033,2258,6664,5086,4924,1903,5819,3578,955,779,"CD4+CD8-"
"406",2076,4149,3888,1972,5033,4317,1580,4972,1637,921,"CD56dim"
"408",1477,2690,7128,5569,5231,1547,6014,2253,1612,912,"CD4+CD8-"
"410",1915,4694,6954,5503,5177,2215,5706,2572,1020,858,"CD4+CD8-"
"414",2913,1974,6956,5216,5172,2029,5208,1961,1140,718,"CD4+CD8-"
"420",2107,3200,6444,1401,5327,2617,6049,6042,1504,1130,"CD8+CD4-"
"421",2668,3950,6294,4634,4528,1913,5778,1159,786,591,"CD4+CD8-"
"424",4501,4299,4573,5471,5851,4235,4191,5199,3843,8191,"Eosinophils"
"425",2105,3239,6424,2091,4976,2365,5821,5528,838,662,"CD8+CD4-"
"428",1049,4043,6874,5384,5140,1689,6290,1688,1386,878,"CD4+CD8-"
"429",1832,4332,7007,5482,5282,1953,5680,3186,1223,632,"CD4+CD8-"
"436",3306,3737,7077,5472,5360,2122,5830,1738,1220,1038,"CD4+CD8-"
"439",4062,4937,4828,5001,4895,4016,3830,4396,2223,3641,"Monocytes"
"440",2120,2588,2038,1007,4722,2990,2359,2236,1572,863,"CD56dim"
"442",2791,4915,4054,4118,5506,3646,2226,4576,2456,2999,"Monocytes"
"449",2609,4784,2860,3757,5317,3793,2716,4863,2158,2322,"Monocytes"
"452",1523,3436,6887,5697,5416,1470,6061,2538,1971,1359,"CD4+CD8-"
"470",1845,4009,4040,3366,5009,4014,3996,4182,1665,1097,"CD56dim"
"473",2394,1837,6416,4515,4294,1881,4743,2476,917,638,"CD4+CD8-"
"474",1653,2189,6805,1745,5740,2151,5721,6346,2224,1730,"CD8+CD4-"
"482",2117,3752,2277,2810,4840,2199,2755,3517,3162,2974,"Monocytes"
"489",1530,3276,7179,5609,5419,2443,5951,911,1436,1217,"CD4+CD8-"
"490",2695,4024,7099,5461,5321,1217,6039,3152,1473,1057,"CD4+CD8-"
"491",2597,3968,6868,5370,5228,1793,5741,2233,905,659,"CD4+CD8-"
"493",1864,6302,1807,1977,5877,4724,1662,5277,2722,1743,"CD56dim"
"495",2398,2721,6384,3637,5463,959,5637,6327,2025,1128,"CD8+CD4-"
"498",3283,2600,7042,2122,5305,822,5961,6220,2239,1250,"CD8+CD4-"
"499",1934,2806,7124,4489,5704,1641,5901,6363,2251,1386,"CD8+CD4-"
"505",2652,2869,5972,2743,5341,3261,5694,4330,2428,2227,"TCRgd-"
"507",3117,1825,7171,5774,5629,3188,5819,2721,2279,1542,"CD4+CD8-"
"509",2185,4100,3002,1469,5630,4715,2314,4715,1830,1456,"CD56dim"
"511",5772,3674,3296,6025,5176,2738,3375,5729,1537,823,"Mature SIg Lambda"
"512",2938,2595,6538,4738,4705,2137,5139,2597,798,558,"CD4+CD8-"
"517",2760,4150,3753,4929,5633,3173,2192,4604,4196,6938,"Eosinophils"
"519",2397,3411,6923,5366,5278,2166,5774,1734,1152,1035,"CD4+CD8-"
"523",2307,3683,2982,3133,5051,2569,3148,3796,2884,3439,"Monocytes"
"526",1769,3038,6578,820,5560,2963,6001,6050,2240,1381,"CD8+CD4-"
"527",3105,4110,6930,437,5865,1389,5814,6409,2421,1597,"CD8+CD4-"
"531",5697,4195,1935,6366,5407,5204,2961,1859,1608,1172,"Mature SIg Kappa"
"532",4193,4592,4355,5400,5953,3828,3719,5049,4824,7463,"Eosinophils"
"533",2139,2398,6879,5239,4959,1655,5613,3029,1226,776,"CD4+CD8-"
"539",1662,3855,7001,5395,5187,2198,5742,1853,898,691,"CD4+CD8-"
"543",1667,3068,7095,5449,5360,1464,5709,2508,1690,1012,"CD4+CD8-"
"544",2376,4736,3653,5006,5503,3754,2681,4704,2126,2890,"Monocytes"
"547",3412,1577,6737,5388,5447,2016,6046,1980,928,924,"CD4+CD8-"
"548",1999,3792,1916,3046,4897,1885,2880,4197,2542,2573,"Monocytes"
"559",2424,1118,6625,4837,4485,1867,5083,2423,1043,614,"CD4+CD8-"
"563",2998,4405,4034,5059,5661,3120,4045,4986,4579,6976,"Eosinophils"
"574",2047,4695,2243,2428,5016,3750,2566,4615,1822,1111,"CD56dim"
"578",2657,5652,3123,1837,4797,4815,2701,3755,1891,1272,"CD56dim"
"579",1821,4479,7155,5498,5332,1442,5668,2020,1285,1021,"CD4+CD8-"
"580",2776,2023,7000,5365,4963,2044,5850,1253,1447,732,"CD4+CD8-"
"592",2381,3135,7195,5584,5352,2511,5945,1356,1372,886,"CD4+CD8-"
"594",5693,2817,2237,6431,5419,2784,1097,6427,1938,1459,"Mature SIg Lambda"
"596",1773,1964,6829,5028,4797,1867,5132,2297,1266,855,"CD4+CD8-"
"599",3939,3449,3775,5103,5675,3858,3674,4807,3619,6966,"Eosinophils"
"600",2539,3071,3315,3710,4901,2871,2197,3972,1826,3835,"Monocytes"
"601",580,2083,6817,5454,5148,2128,6536,3176,1596,912,"CD4+CD8-"
"602",2832,3828,6603,295,5712,2653,5202,6163,2067,1550,"CD8+CD4-"
"605",2414,2623,6692,2525,5543,2457,6158,5845,2009,1236,"CD8+CD4-"
"606",1528,3734,6712,5168,4900,1533,5947,2623,1082,638,"CD4+CD8-"
"609",3504,1217,6950,923,5486,579,5898,6021,1487,952,"CD8+CD4-"
"610",2633,2749,6857,2359,5396,1908,5978,5976,1090,866,"CD8+CD4-"
"612",1722,2361,6788,5188,4854,2174,5132,2975,1151,805,"CD4+CD8-"
"621",2325,4232,1816,1747,5467,3002,2085,2238,1461,1088,"CD56dim"
"622",1939,2355,7083,5349,5162,2295,5573,2321,1387,921,"CD4+CD8-"
"626",937,2637,7086,5529,5415,1560,5871,3001,1767,1139,"CD4+CD8-"
"633",2087,2941,6833,5565,5177,1919,5973,2744,1331,989,"CD4+CD8-"
"639",1745,3547,6329,5079,4930,2077,6612,2175,1523,582,"CD4+CD8-"
"646",2056,3506,6095,5115,4783,1656,5620,1712,1157,685,"CD4+CD8-"
"650",2744,2323,6833,5556,5212,1446,6234,3104,1202,1066,"CD4+CD8-"
"656",2926,4542,6664,5256,5018,2389,5765,3301,1117,1108,"CD4+CD8-"
"657",2478,4071,6974,5506,5373,1809,6017,1961,1826,1277,"CD4+CD8-"
"658",1450,4262,6901,5704,5511,1714,5958,1483,1392,1156,"CD4+CD8-"
"661",6025,5065,1934,6757,5494,6483,5072,4066,1829,1102,"Mature SIg Kappa"
"665",2961,5181,2398,4321,5564,3712,1689,4721,3001,2884,"Monocytes"
"666",2319,3985,6586,5143,4943,1522,5554,2208,1349,950,"CD4+CD8-"
"667",2252,2219,6873,987,5594,2270,5476,5970,2162,1302,"CD8+CD4-"
"670",1278,4200,6781,5302,4874,1999,5852,2426,1500,866,"CD4+CD8-"
"672",5942,5259,2836,6662,5440,2316,1364,4242,1823,1741,"Mature SIg Lambda"
"675",2437,4222,2859,3472,5234,3806,1421,4620,1786,2799,"Monocytes"
"678",3193,2996,7171,5208,5252,1564,5860,2548,1341,1194,"CD4+CD8-"
"682",858,3479,7013,5526,5313,1682,6259,2801,1404,1156,"CD4+CD8-"
"684",2382,2929,6338,5418,5220,1601,5857,2264,1111,855,"CD4+CD8-"
"685",1272,4550,6919,2016,5484,2421,6426,5965,2264,1310,"CD8+CD4-"
"686",1625,1528,6712,5644,5494,2166,6811,1171,1937,1258,"CD4+CD8-"
"687",4272,4703,4296,4987,5221,4132,2555,4535,2739,3769,"Monocytes"
"690",2359,2930,6594,1200,5532,4248,5790,5629,1831,1167,"CD8+CD4-"
"691",1548,3264,6732,5468,5023,2618,6284,3048,924,889,"CD4+CD8-"
"692",2193,4000,6931,5603,5294,2467,6245,2467,1124,927,"CD4+CD8-"
"696",5730,4795,1882,6719,5608,2248,3228,6567,1823,1178,"Mature SIg Lambda"
"700",2363,2387,7250,5539,5487,1486,5969,2524,1472,1035,"CD4+CD8-"
"704",2883,524,6554,1479,5611,2101,5376,6240,2038,1288,"CD8+CD4-"
"712",2197,4316,7015,5150,5294,1957,6545,2722,1706,955,"CD4+CD8-"
"713",2081,1710,6461,2590,5228,3072,6312,5838,1479,1128,"CD8+CD4-"
"715",2691,2444,6257,4560,4234,1573,4402,3213,1444,585,"CD4+CD8-"
"716",730,4029,7337,5693,5340,1678,6316,2062,1095,832,"CD4+CD8-"
"720",2316,5006,2908,4370,5311,4007,2780,4679,3490,2115,"Monocytes"
"726",2639,4743,7079,5627,5478,2754,6302,2230,1627,987,"CD4+CD8-"
"728",2270,3965,6966,2540,5571,1009,6347,6069,2097,1194,"CD8+CD4-"
"730",2578,2344,6588,4933,4540,1506,5067,1871,780,552,"CD4+CD8-"
"733",2113,3531,6720,1561,5309,2363,3768,5891,1891,1144,"CD8+CD4-"
"737",2135,3988,7128,5487,5243,2416,6005,2837,1401,730,"CD4+CD8-"
"738",3068,4654,4118,5118,5684,3723,4289,5013,5812,7143,"Eosinophils"
"740",2321,4584,7202,5599,5366,2079,5794,1726,1275,1069,"CD4+CD8-"
"742",2295,4440,6966,5704,5294,2193,5653,1852,976,875,"CD4+CD8-"
"744",2310,3341,6472,4770,4591,1649,4981,2525,1390,709,"CD4+CD8-"
"745",3133,3559,4909,4372,4975,3767,4251,4211,2279,4449,"Monocytes"
"760",2283,3812,1937,3776,4970,3019,2064,3893,1559,2154,"Monocytes"
"761",2054,3975,6402,2731,5181,2077,5592,5908,1738,886,"CD8+CD4-"
"762",2624,4634,2553,4373,5426,4141,1272,4924,3000,3166,"Monocytes"
"763",2148,3107,7178,5561,5403,2012,5979,3053,906,924,"CD4+CD8-"
"766",1359,4581,7034,5630,5445,1745,6246,1935,1570,1046,"CD4+CD8-"
"767",2075,3722,6560,5458,5234,1907,6065,1925,1439,961,"CD4+CD8-"
"768",3359,3918,4193,5004,5662,3699,3484,4990,5093,6621,"Eosinophils"
"770",1680,2758,6838,5290,5150,2161,6176,3098,1200,776,"CD4+CD8-"
"781",2470,3627,4188,5281,5989,3662,4390,4143,4985,8191,"Eosinophils"
"784",2263,5444,2458,2015,5350,3922,1736,3712,1787,1335,"CD56dim"
"788",2144,2028,7325,5875,5624,2515,6165,1125,1470,1233,"CD4+CD8-"
"789",3509,2227,6830,5482,5243,1515,5899,2623,1060,895,"CD4+CD8-"
"792",1922,3269,6928,5265,5078,2116,5594,1064,1403,840,"CD4+CD8-"
"793",5817,4660,2699,6195,5163,3124,4268,6201,1799,1049,"Mature SIg Lambda"
"794",1701,3665,7125,896,5758,1255,5376,6473,2039,1343,"CD8+CD4-"
"796",2416,3603,7010,5755,5337,2005,5573,1173,1271,944,"CD4+CD8-"
"797",2505,3919,6925,5309,5214,2306,5906,1965,1238,932,"CD4+CD8-"
"802",1813,3917,6715,4024,5498,2745,5346,6022,2527,1712,"CD8+CD4-"
"804",2238,5027,2344,5091,4958,4541,2879,3167,1800,1589,"Monocytes"
"805",2845,4427,3831,4922,5668,3509,2985,4859,4325,6972,"Eosinophils"
"806",2281,4714,3309,3279,4832,3407,3322,4325,1560,1994,"Monocytes"
"807",1906,2706,7182,5422,5128,1303,5584,2455,1142,898,"CD4+CD8-"
"808",1391,2712,6918,5395,5158,1672,5931,3073,1216,849,"CD4+CD8-"
"809",1314,3732,7153,5628,5159,1575,6026,2331,1343,791,"CD4+CD8-"
"811",2959,3033,4226,4028,4771,3455,2599,3926,2146,3035,"Monocytes"
"812",2548,3131,6813,2319,5582,464,5324,6199,1944,1108,"CD8+CD4-"
"813",1962,3675,7055,5213,5170,2027,5701,2686,1763,998,"CD4+CD8-"
"818",2546,5232,2014,908,5615,5147,1623,4096,2110,1616,"CD56dim"
"823",1290,3943,6979,5446,5286,1637,5966,2517,906,924,"CD4+CD8-"
"827",3076,3223,6817,2121,5476,1412,6052,6045,1760,1175,"CD8+CD4-"
"831",2616,3231,6688,706,5302,2994,5794,6143,891,747,"CD8+CD4-"
"835",2637,4536,6557,2100,5557,1501,4361,5943,2232,1283,"CD8+CD4-"
"848",3005,5248,7002,5360,5122,2093,6112,2479,1189,750,"CD4+CD8-"
"851",2854,3664,7164,5402,5241,2071,5925,1870,1250,915,"CD4+CD8-"
"854",1510,3835,6840,5334,5111,2453,5756,3335,1181,706,"CD4+CD8-"
"856",3030,3044,6854,1828,5705,1910,5456,6292,2051,1097,"CD8+CD4-"
"862",3217,5343,4332,4423,5455,3881,2385,4813,2744,3071,"Monocytes"
"869",2202,3619,2667,3733,4520,3266,3552,4266,1786,1929,"Monocytes"
"872",2344,5213,1236,2620,5397,1685,1775,3075,2124,1618,"CD56dim"
"878",2394,4904,7090,5711,5476,1617,6051,2747,1872,1335,"CD4+CD8-"
"880",1641,2700,6355,1895,5278,2099,5802,5884,2112,1125,"CD8+CD4-"
"882",2005,2983,6558,4840,4732,1654,5266,2708,803,744,"CD4+CD8-"
"883",3140,4327,7143,5409,5095,3601,5674,4104,672,1043,"CD4+CD8-"
"884",2412,2751,6541,827,5261,787,5045,6137,2126,1018,"CD8+CD4-"
"891",3861,4611,4091,5334,5873,3820,4047,4957,5529,7564,"Eosinophils"
"892",1638,2118,6230,5051,4717,1686,5989,2683,1821,697,"CD4+CD8-"
"897",2169,3182,3432,4824,5664,3198,3482,4076,5638,7335,"Eosinophils"
"899",3661,1763,5940,5331,5170,1374,6140,2645,2743,927,"CD4+CD8-"
"905",1343,4449,7153,5610,5320,2640,6078,2015,1259,779,"CD4+CD8-"
"908",2437,3048,7037,2370,5668,2653,5352,6205,1872,1266,"CD8+CD4-"
"909",2244,1184,6718,5726,5486,1695,5757,1970,1218,1329,"CD4+CD8-"
"910",2264,3568,6981,5398,5264,1937,5848,3347,1173,860,"CD4+CD8-"
"920",2113,3023,6819,5302,5373,1434,5956,1439,1258,892,"CD4+CD8-"
"924",2532,3255,6920,415,5557,2485,5646,5948,2029,1255,"CD8+CD4-"
"925",2019,5778,1508,2197,5405,4963,2130,4083,1959,1161,"CD56dim"
"930",2811,2549,2928,1361,5344,4849,1958,4175,2026,1208,"CD56dim"
"936",1872,4345,6631,1549,5626,2173,5690,6076,2051,1296,"CD8+CD4-"
"937",2190,4817,882,971,4695,3458,1917,1971,1741,837,"CD56dim"
"939",2976,3750,6816,5451,5197,2034,5768,2789,1222,1077,"CD4+CD8-"
"942",5385,2241,1140,5706,4671,4263,3061,3035,1574,1108,"Mature SIg Kappa"
"943",2122,2520,6310,4993,4787,3016,5302,2893,1206,1052,"CD4+CD8-"
"945",2308,4431,3489,1796,5708,3534,2249,3766,1825,1266,"CD56dim"
"948",3060,1668,6682,5251,5195,2039,5334,1056,791,797,"CD4+CD8-"
"956",2419,4272,2515,4126,5224,2958,3543,4233,2498,2731,"Monocytes"
"959",3120,2768,7192,5387,5275,2272,5676,2336,1547,691,"CD4+CD8-"
"962",4189,1506,6694,6006,5852,1479,7148,3386,2246,1647,"CD4+CD8-"
"963",2536,2376,6880,1547,5086,2080,5738,5599,1462,907,"CD8+CD4-"
"964",2554,2603,6464,4930,4695,1397,5451,1781,921,823,"CD4+CD8-"
"966",2230,4117,6927,2322,5274,2021,6521,5971,2421,1136,"CD8+CD4-"
"968",2580,4390,6886,5466,5307,1876,5605,1414,889,958,"CD4+CD8-"
"971",3256,3773,4202,5126,5615,3740,3337,4902,4374,6673,"Eosinophils"
"976",1358,4719,6432,5684,5449,1891,6640,2590,1006,860,"CD4+CD8-"
"977",1381,4537,7026,5311,5113,1365,6270,2922,1324,788,"CD4+CD8-"
"983",2351,3232,6898,2365,5630,4357,5109,6198,1823,1167,"CD8+CD4-"
"985",2880,3557,6810,245,5633,1562,4902,6250,1885,1397,"CD8+CD4-"
"987",2521,3996,6963,5247,5041,1619,5882,2602,1030,750,"CD4+CD8-"
"988",1954,2976,6485,4840,4578,1980,5422,2793,980,756,"CD4+CD8-"
"991",2249,4673,7049,5545,5370,1773,6004,3150,1113,753,"CD4+CD8-"
"1002",2122,4392,6939,5188,4968,1697,5949,1893,1604,811,"CD4+CD8-"
"1006",2709,4424,6759,754,5746,3472,5465,6448,2119,1446,"CD8+CD4-"
"1007",3437,4141,3690,4247,4817,3987,3283,4453,3750,3227,"Monocytes"
"1008",2465,3838,3101,4009,4898,2295,1891,4735,3159,3760,"Monocytes"
"1010",2081,3119,6742,5970,5541,2486,6583,442,2509,1329,"CD4+CD8-"
