"","CD19/TCRgd:PE Cy7-A LOGICAL","CD38:APC H7-A LOGICAL","CD3:APC-A LOGICAL","CD4+CD20:PB-A LOGICAL","CD45:PO-A LOGICAL","CD56+IgK:PE-A LOGICAL","CD5:PerCP Cy5-5-A LOGICAL","CD8+IgL:FITC-A LOGICAL","FSC-A LINEAR","SSC-A Exp-SSC Low","Population ID (name)"
"138",2839,1455,6761,5567,5161,1277,5979,2155,2197,1060,"CD4+CD8-"
"140",2189,2832,6603,4155,5595,762,5887,5901,2627,1404,"CD8+CD4-"
"145",2022,2560,3205,4284,5322,3559,3480,4050,3182,6585,"Eosinophils"
"157",6173,2449,2106,6285,5208,4283,3336,3227,2133,1113,"Mature SIg Kappa"
"176",2327,4386,1172,3138,4556,4929,1932,4952,4322,2709,"Monocytes"
"178",1770,2206,6789,1795,5247,1524,4687,5102,2367,1409,"TCRgd-"
"183",6320,3496,2039,6699,5094,6323,2381,3469,2188,1219,"Mature SIg Kappa"
"185",1054,3637,7138,5771,5256,1072,6108,2708,1949,971,"CD4+CD8-"
"197",2478,2701,3774,4310,5272,3544,3866,4154,3488,6992,"Eosinophils"
"198",1581,3962,6954,986,5542,1793,5834,6326,2330,1522,"CD8+CD4-"
"200",1732,3403,3256,3965,5186,3421,3650,3617,3876,6846,"Eosinophils"
"210",1748,2820,3651,4622,5445,3699,4177,4154,2681,8191,"Eosinophils"
"212",2428,4867,2371,2114,5452,5778,1774,3455,2929,1501,"CD56dim"
"213",2694,1775,6800,1284,5616,675,5710,6181,2565,1427,"CD8+CD4-"
"218",2663,3072,6855,797,5668,1170,5643,6239,2477,1568,"CD8+CD4-"
"238",2341,1297,6527,2538,5556,2411,5797,6075,2812,1571,"CD8+CD4-"
"239",2033,4028,6982,5851,5243,1834,5545,2631,2285,1013,"CD4+CD8-"
"249",0,2313,6763,5626,5494,1474,6383,2350,2263,1235,"CD4+CD8-"
"255",2324,2060,6984,5853,5507,1712,6433,2157,2025,1197,"CD4+CD8-"
"278",2540,2525,6778,5421,5056,1086,5306,2769,1818,1372,"CD4+CD8-"
"298",2095,2876,6887,4364,5599,1183,5344,6197,2311,1243,"CD8+CD4-"
"300",2154,1882,3503,4229,5249,3283,3680,3926,3434,6766,"Eosinophils"
"316",2071,3194,6754,1534,5561,500,6071,6366,2644,1393,"CD8+CD4-"
"328",2297,2517,6888,1127,5653,1312,5597,6167,2618,1276,"CD8+CD4-"
"329",1675,664,6953,5889,5386,1628,5774,1539,2269,1297,"CD4+CD8-"
"333",2308,1489,6792,2027,5496,2617,5422,5702,2456,1454,"TCRgd-"
"336",2651,3386,6655,5583,5315,2112,6129,1021,2029,1055,"CD4+CD8-"
"354",2436,2233,6736,5825,5442,1068,6503,1822,2675,1425,"CD4+CD8-"
"388",2835,2925,7162,5946,5485,1861,5945,2558,2239,1361,"CD4+CD8-"
"393",2112,2502,3279,3927,5167,3266,3262,3624,3670,6840,"Eosinophils"
"404",2500,3302,3567,4560,5413,3625,3714,4265,4202,7067,"Eosinophils"
"415",1676,2256,7019,842,5602,2026,5558,6386,2846,1451,"CD8+CD4-"
"440",3069,3442,6836,1532,5662,1551,5255,6242,2805,1456,"CD8+CD4-"
"442",1161,2739,6784,1748,5308,1899,6001,5004,2340,1173,"TCRgd-"
"443",2193,3543,2302,1975,5399,4748,2349,4359,2368,1238,"CD56dim"
"453",1666,2436,7164,5741,5298,1163,5819,2504,2162,1157,"CD4+CD8-"
"457",2149,1391,6476,2132,5559,966,5285,6211,2483,1140,"CD8+CD4-"
"465",1884,4116,2938,3791,4941,4787,2394,4978,4327,3269,"Monocytes"
"466",1734,5249,905,1833,5378,5523,2833,4953,2440,1712,"CD56dim"
"484",2080,4509,1819,4117,4862,4670,1836,4750,4311,2831,"Monocytes"
"488",2624,3677,3566,4338,5185,3261,3532,4341,3671,6688,"Eosinophils"
"492",2258,1665,7026,1483,5513,4921,3897,6147,2879,1696,"CD8+CD4-"
"497",2309,2404,6909,342,5794,3114,5546,6448,2662,1633,"CD8+CD4-"
"498",2177,2467,6715,4387,5397,1728,5443,6182,2121,1055,"CD8+CD4-"
"504",1497,2079,7102,5491,5322,1222,5946,1925,2281,1091,"CD4+CD8-"
"517",1989,2769,3244,4238,5233,3536,4148,3942,3372,6814,"Eosinophils"
"523",2085,4164,2147,4157,4924,4658,2485,4848,4390,2724,"Monocytes"
"529",3509,3451,6639,1926,5381,862,5840,6172,2182,1273,"CD8+CD4-"
"530",2608,3591,3581,4444,5169,3398,4016,4271,3797,6839,"Eosinophils"
"540",5779,3590,969,6561,5589,2432,2501,6855,2252,994,"Mature SIg Lambda"
"554",1793,1527,6877,3000,5606,1719,5310,6168,2431,1243,"CD8+CD4-"
"558",2977,2171,6769,935,5637,1767,5660,6355,2494,1454,"CD8+CD4-"
"570",2094,5427,1822,2060,5257,5567,1452,3250,2730,1425,"CD56dim"
"617",2176,4716,1428,1171,5391,5186,1595,3144,2385,1679,"CD56dim"
"621",2760,4864,2789,3447,4979,4670,2034,4776,4442,2973,"Monocytes"
"632",2580,2210,6578,2182,5684,593,5106,6279,2578,1422,"CD8+CD4-"
"653",1986,1814,6975,5733,5385,1186,6212,1960,2093,1146,"CD4+CD8-"
"677",6179,2557,2088,6106,5313,6296,3003,3430,2257,929,"Mature SIg Kappa"
"694",2124,4380,2145,3633,4649,4535,2451,4485,3430,3327,"Monocytes"
"697",2151,2489,3737,4398,5351,3601,4159,4089,3389,7973,"Eosinophils"
"698",2049,2946,6941,1810,5575,2311,4834,6126,2558,1674,"CD8+CD4-"
"703",2621,3505,1630,2159,5468,4840,1249,3868,2770,1542,"CD56dim"
"704",2183,3692,3423,4006,5142,3072,3262,3992,3378,6836,"Eosinophils"
"712",1747,3465,2344,3490,4322,4160,1629,4300,3075,3318,"Monocytes"
"724",2373,3985,7041,5618,5333,1234,5807,2065,2198,1181,"CD4+CD8-"
"741",1650,3548,7190,5751,5347,1756,6204,1814,2245,1132,"CD4+CD8-"
"753",1946,2070,7081,5762,5245,1239,6051,2842,2345,1319,"CD4+CD8-"
"777",2578,1806,7096,1346,5777,5178,4979,6358,3112,1707,"CD8+CD4-"
"781",2081,1847,6325,1350,5349,1466,4340,2544,2138,901,"TCRgd-"
"789",2821,1754,7064,5602,5502,4640,5599,2230,2673,1249,"CD4+CD8-"
"791",1560,3079,6746,1825,5475,2003,4830,5272,2440,1238,"TCRgd-"
"794",6227,2864,1630,6449,5278,3506,2167,6027,2685,1576,"Mature SIg Lambda"
"813",5649,4416,2594,6579,5282,6847,4473,3151,2143,1047,"Mature SIg Kappa"
"819",2465,4134,2416,3975,4758,4611,1727,4696,3408,3107,"Monocytes"
"827",2504,2903,2791,4195,5175,3366,3868,3705,4306,7341,"Eosinophils"
"828",1109,2383,6517,1481,5315,1774,5471,2012,2318,1016,"TCRgd-"
"846",1475,2124,6639,5740,5418,1885,5263,2115,2294,1216,"CD4+CD8-"
"863",3050,4065,6928,1522,5796,479,5785,6427,2538,1658,"CD8+CD4-"
"867",2204,993,6901,1064,5627,19,5430,6290,2620,1313,"CD8+CD4-"
"871",2366,2724,6915,2079,5642,2445,5550,6285,2706,1676,"CD8+CD4-"
"875",2149,4652,2198,1307,5266,5265,2262,4379,2700,1571,"CD56dim"
"888",2607,2746,6490,5618,5384,1258,6011,751,2069,997,"CD4+CD8-"
"916",1346,1565,6621,5785,5335,2016,5866,2063,2585,1435,"CD4+CD8-"
"917",6039,2301,1836,6506,5029,5762,1549,2592,2473,1197,"Mature SIg Kappa"
"927",1704,2594,6594,1798,5512,4116,4719,6154,2743,1477,"CD8+CD4-"
"937",3214,2454,7166,5652,5214,1290,5778,1608,2274,999,"CD4+CD8-"
"941",2069,4508,1449,1438,5219,4835,2442,3301,2445,1359,"CD56dim"
"944",1034,949,6696,5679,5451,1877,6465,2617,2275,1254,"CD4+CD8-"
"956",2388,1639,6920,5639,5230,1387,5555,2786,1805,1096,"CD4+CD8-"
"960",1881,3326,2038,1539,5356,5332,2508,5028,2556,1545,"CD56dim"
"965",6293,2479,2079,6820,4865,6259,3431,3445,2399,1165,"Mature SIg Kappa"
"980",2127,3843,6911,5681,5264,1624,5766,2634,2206,1074,"CD4+CD8-"
"999",2433,1244,6902,5810,5476,1304,5597,2865,2493,1192,"CD4+CD8-"
"1009",5933,3425,2216,6604,5257,3059,4560,5889,2173,1008,"Mature SIg Lambda"
"1011",1743,1040,6820,1896,5222,1692,4977,5541,2231,1200,"TCRgd-"
"1013",2544,3254,6738,1151,5409,2717,5311,5728,2780,1305,"TCRgd-"
"1015",1696,3181,6600,2413,5559,2010,5155,5840,2173,1167,"CD8+CD4-"
"1030",6191,2652,2438,6171,5314,5996,4009,3016,2356,1118,"Mature SIg Kappa"
"1041",2136,1777,6763,5605,5392,925,6037,2459,2009,1154,"CD4+CD8-"
"1045",2300,3172,6629,1662,5722,1818,4625,3617,2665,1425,"TCRgd-"
"1046",2476,2119,6922,5741,5450,1503,5894,1726,1875,924,"CD4+CD8-"
"1055",1840,2909,6507,4716,5533,2166,5277,4660,2480,999,"TCRgd-"
"1077",2792,2282,6955,3361,5550,4868,5018,5856,2408,1514,"CD8+CD4-"
"1087",1893,4594,6817,5559,5433,3958,5504,1616,2308,1099,"CD4+CD8-"
"1093",1738,4610,2440,2254,5423,5340,2165,3814,2430,1648,"CD56dim"
"1097",2213,2530,6572,1743,5588,3898,4427,5976,2399,1364,"CD8+CD4-"
"1099",1920,1454,6705,1204,5282,1044,5616,6333,1987,1126,"CD8+CD4-"
"1100",1979,4627,1873,1882,5329,5043,2159,4274,2676,1709,"CD56dim"
"1103",1753,2231,6753,1630,5676,424,5941,6302,2457,1454,"CD8+CD4-"
"1121",3415,2541,6885,1320,5715,5204,4514,6524,2931,1589,"CD8+CD4-"
"1124",2039,2115,6361,5921,5425,1451,6232,2062,2577,1372,"CD4+CD8-"
"1144",2552,3181,3701,4058,5249,3268,3415,3845,3688,6979,"Eosinophils"
"1159",2046,3376,7236,6010,5460,1275,5968,2645,2261,1295,"CD4+CD8-"
"1172",2078,3956,4536,5019,4973,4098,2943,4483,4774,2454,"Monocytes"
"1173",1004,1075,6801,5706,5516,1937,6172,2211,2454,1398,"CD4+CD8-"
"1189",2264,2924,3456,4049,5081,3124,3343,3889,3163,6221,"Eosinophils"
"1197",2186,4861,2607,1300,5144,4456,1383,3008,2664,1361,"CD56dim"
"1207",1990,4941,1223,1849,5433,5145,1859,3182,2684,1483,"CD56dim"
"1217",1415,2200,7020,4550,5349,1127,5786,5836,2366,1167,"CD8+CD4-"
"1240",1630,584,6851,5627,5431,4287,5435,2945,2630,1430,"CD4+CD8-"
"1244",2092,4246,2391,4575,4925,5096,1369,4846,4735,3155,"Monocytes"
"1245",2049,4287,1505,4217,4680,4742,1811,4891,4268,3187,"Monocytes"
"1247",1780,4399,2236,4004,4667,4717,2523,4898,4339,3097,"Monocytes"
"1253",1258,1297,6731,5711,5463,1057,5900,2406,2593,1420,"CD4+CD8-"
"1268",2146,1156,7094,1322,5777,3783,5399,6527,2734,1571,"CD8+CD4-"
"1272",6037,3089,2110,6469,4998,6099,3166,3464,2189,943,"Mature SIg Kappa"
"1278",1639,1761,6386,2559,5410,2043,4857,5867,2224,1249,"CD8+CD4-"
"1281",1728,2630,6632,1235,5273,1206,5551,6113,1926,997,"CD8+CD4-"
"1284",2276,3425,7067,1790,5715,1561,5202,6435,2879,1643,"CD8+CD4-"
"1285",1898,2518,3690,4121,5147,3072,3203,3701,3787,6853,"Eosinophils"
"1288",1141,1049,7122,5833,5455,1714,5117,2671,2752,1483,"CD4+CD8-"
"1290",1997,4376,7388,5711,5456,1493,6186,2559,2297,1340,"CD4+CD8-"
"1300",2526,2693,3328,4339,5216,3285,3849,4021,3859,7107,"Eosinophils"
"1308",2677,3288,7018,5655,5192,1629,5540,1427,2089,904,"CD4+CD8-"
"1328",2116,3918,1968,1154,5245,4641,1864,4876,2407,1140,"CD56dim"
"1329",2129,3969,2485,4328,4677,4526,1701,4642,4130,2921,"Monocytes"
"1341",2805,2181,7171,2223,5687,4550,5768,6395,2983,1359,"CD8+CD4-"
"1345",1895,2677,6444,2645,5453,5567,4578,4975,2232,1319,"TCRgd-"
"1348",2176,2117,6825,1665,5637,487,5706,6147,2416,1316,"CD8+CD4-"
"1368",2019,2384,6861,1854,5659,1511,5354,6446,2506,1340,"CD8+CD4-"
"1379",1463,3803,6806,5567,5208,2008,5673,1538,2012,1181,"CD4+CD8-"
"1388",1804,2637,6996,5718,5400,1061,6329,3106,2285,1132,"CD4+CD8-"
"1398",2093,4601,1310,1084,5413,5253,1961,3999,2536,1414,"CD56dim"
"1417",3158,3069,3456,4481,5356,3587,3859,4349,3175,7340,"Eosinophils"
"1431",3017,2085,6961,1495,5363,2321,5348,6265,2013,1154,"CD8+CD4-"
"1453",3203,1237,7342,6030,5660,2449,5895,2285,2739,1501,"CD4+CD8-"
"1465",2290,1647,6804,3734,5556,1583,5070,6279,2700,1329,"CD8+CD4-"
"1474",2392,3077,6771,1183,5495,1332,5228,6035,2575,1257,"CD8+CD4-"
"1504",2105,4509,2501,4161,5056,5330,2432,5261,4357,3388,"Monocytes"
"1510",3466,3396,6553,5790,5337,1321,6010,2449,2653,1203,"CD4+CD8-"
"1516",2652,3148,6976,2003,5236,228,5712,6310,2150,1214,"CD8+CD4-"
"1532",6230,4885,686,6950,5550,3173,873,6436,2274,1430,"Mature SIg Lambda"
"1537",1791,1951,7042,1046,5506,5167,5523,5968,2330,1321,"CD8+CD4-"
"1547",2631,3785,6926,5586,5033,1513,5529,2170,1989,966,"CD4+CD8-"
"1552",2749,3388,6760,1152,5624,2553,4806,6419,2801,1679,"CD8+CD4-"
"1561",5663,2542,2627,6501,5271,6546,2694,3255,2435,1148,"Mature SIg Kappa"
"1588",2782,4795,1869,1978,5416,5284,2531,5383,2367,1586,"CD56dim"
"1597",2356,1476,6713,286,5551,1607,5314,6239,2576,1372,"CD8+CD4-"
"1618",2901,3144,6982,5816,5632,1202,5939,2652,2213,1265,"CD4+CD8-"
"1623",1890,4338,1861,4528,5092,4811,2646,4802,3891,3175,"Monocytes"
"1629",2864,2070,6822,5712,5436,1652,5241,1783,2363,1200,"CD4+CD8-"
"1632",2225,3754,3233,5035,5034,4972,1561,5007,3805,3234,"Monocytes"
"1654",2269,2846,7120,5814,5353,2540,5563,3043,2025,1254,"CD4+CD8-"
"1655",2273,4529,2633,810,5318,4864,1601,5079,2477,1535,"CD56dim"
"1656",1487,4091,7224,5776,5285,1449,6022,2182,2226,1146,"CD4+CD8-"
"1662",1737,4253,6892,1201,5703,1385,6005,6316,2486,1615,"CD8+CD4-"
"1687",2001,1482,6852,5557,5167,1602,5578,1494,2048,1151,"CD4+CD8-"
"1688",2357,3491,2024,4501,4888,4905,2039,4862,4359,3177,"Monocytes"
"1692",814,1853,6786,3518,5741,1944,6005,6302,2823,1597,"CD8+CD4-"
"1698",2522,3293,6820,1905,5612,4414,4047,6152,2747,1638,"CD8+CD4-"
"1700",1679,362,7226,1794,5551,2149,5362,6438,2655,1592,"CD8+CD4-"
"1703",1854,4192,2430,3884,4774,5258,2091,5272,4636,3589,"Monocytes"
"1710",1815,4543,1500,4412,4980,4435,2262,4695,3941,3367,"Monocytes"
"1736",2079,3528,1133,2154,5007,4985,1888,3116,2374,1483,"CD56dim"
"1739",1614,3240,6793,2138,5545,2208,5984,5680,2665,1480,"TCRgd-"
"1745",2113,2824,3523,4014,5117,3114,3450,3880,3944,6223,"Eosinophils"
"1770",2582,3750,6693,5580,5259,1280,5375,2767,1711,1013,"CD4+CD8-"
"1777",1926,3788,1537,1694,5347,4979,2152,2894,2587,1359,"CD56dim"
"1796",668,1046,6849,5593,5285,1952,5796,1994,2175,1052,"CD4+CD8-"
"1805",2386,2968,3766,4324,5310,3616,4274,3934,3594,8191,"Eosinophils"
"1810",1589,1739,7006,2664,5642,1663,5231,6429,2690,1464,"CD8+CD4-"
"1819",3134,5477,6778,5599,5337,1304,5915,2145,2063,1186,"CD4+CD8-"
"1838",2351,2695,6887,5813,5569,2068,6135,2091,2641,1393,"CD4+CD8-"
"1840",2117,1987,6864,1349,5583,4347,4613,6196,2722,1604,"CD8+CD4-"
"1843",3150,3631,7021,5719,5298,1819,5979,2426,2636,1278,"CD4+CD8-"
"1849",1301,3298,6813,5498,5078,1408,6144,2454,1961,907,"CD4+CD8-"
"1850",3251,2696,3887,4441,5355,3395,3587,4218,3387,7116,"Eosinophils"
"1874",1930,4265,2779,2151,5701,5244,1946,3350,2558,1548,"CD56dim"
"1875",6007,2454,1793,6101,5097,2867,2019,5492,2027,850,"Mature SIg Lambda"
"1876",1951,3669,3804,3741,4338,4404,1758,4635,4456,4138,"Monocytes"
"1878",2161,5225,2350,91,5491,5363,1487,4232,2456,1422,"CD56dim"
"1887",3267,852,6957,3550,5620,964,5165,6244,2449,1170,"CD8+CD4-"
"1912",6102,3039,1612,6259,5118,6220,3200,3289,2389,1257,"Mature SIg Kappa"
"1914",2168,2817,3673,4208,5280,3571,3823,3835,4620,8191,"Eosinophils"
"1921",2310,3107,3749,4205,5087,3350,3864,4187,4069,6767,"Eosinophils"
"1934",3131,975,6892,5762,5369,1133,6117,3187,2634,1230,"CD4+CD8-"
"1936",1363,2569,6822,949,5486,2452,5954,6243,2214,1170,"CD8+CD4-"
"1943",1423,3194,6654,2386,5379,2404,5618,6246,2240,1443,"CD8+CD4-"
"1961",1653,4401,2665,2635,5241,4981,3296,4663,2409,1527,"CD56dim"
"1986",2020,2736,3703,3850,5163,3102,3534,3810,3924,6423,"Eosinophils"
"2009",2047,4630,2011,3968,4899,4885,1618,4858,4495,3322,"Monocytes"
"2016",2770,1965,6785,2295,5670,1013,5722,6403,2162,1404,"CD8+CD4-"
"2018",990,2872,6824,1738,5795,2796,5568,6496,2595,1633,"CD8+CD4-"
"2037",2239,1224,6376,3531,5513,2038,4566,6066,2557,1148,"CD8+CD4-"
"2040",2644,3088,7148,5621,5303,1716,6198,2896,2436,1396,"CD4+CD8-"
"2041",2079,4070,7227,5638,5150,1427,5469,2470,2088,952,"CD4+CD8-"
"2051",651,3265,6701,1943,5501,2077,6340,6004,2649,1498,"CD8+CD4-"
"2074",2348,4742,1834,2997,4471,4176,1638,4525,3502,2767,"Monocytes"
"2075",1871,2918,3705,4189,5252,3424,3868,3872,4253,6814,"Eosinophils"
"2078",2432,3828,2771,4426,4755,4701,1259,4543,3819,2835,"Monocytes"
"2080",2376,5004,6805,5766,5328,1160,5824,2196,2000,1192,"CD4+CD8-"
"2129",6059,2701,2618,6533,5194,6672,3130,3145,2609,1222,"Mature SIg Kappa"
"2131",1730,2918,6848,1475,5593,1128,5390,6339,2594,1475,"CD8+CD4-"
"2134",1689,4197,1732,4512,4685,4478,1969,4635,4175,3073,"Monocytes"
"2174",1852,1761,6507,5960,5620,3020,5117,2854,2606,1441,"CD4+CD8-"
"2191",2026,2498,6433,1791,5484,4885,4376,4963,2187,1189,"TCRgd-"
"2201",1748,4703,2134,4225,5074,4839,2133,4961,4652,3151,"Monocytes"
"2228",3524,1908,6939,866,5431,1196,5754,6388,2139,1417,"CD8+CD4-"
"2240",2292,4365,7048,1485,5486,4140,4708,6022,2882,1438,"CD8+CD4-"
"2241",968,1459,6800,5831,5551,1440,6373,2392,2169,1319,"CD4+CD8-"
"2247",2803,3002,7039,640,5669,1600,4757,6293,2845,1604,"CD8+CD4-"
"2256",1898,2079,6242,5564,5504,1376,5562,2244,2538,1260,"CD4+CD8-"
"2259",1735,1654,7191,5652,5258,1901,6546,2174,2421,1295,"CD4+CD8-"
"2262",1483,3883,2956,3773,4971,5231,3077,4790,4062,2925,"Monocytes"
"2274",2412,2734,6627,1960,5121,3773,4997,6093,2570,1319,"CD8+CD4-"
"2275",2173,3980,1557,3515,4624,4568,2302,4763,4667,3157,"Monocytes"
"2285",2211,3579,7219,5643,5268,1674,5709,1472,2350,1085,"CD4+CD8-"
"2289",2044,3620,6618,5785,5285,1953,5623,1359,2548,1238,"CD4+CD8-"
"2296",2467,2483,6404,2457,5340,1180,5633,6240,2182,1192,"CD8+CD4-"
"2305",2142,4594,2975,4163,4936,5005,2218,5090,4550,3516,"Monocytes"
"2310",6377,2130,1189,6167,5459,3138,2473,6077,2129,977,"Mature SIg Lambda"
"2314",2022,2074,3895,4029,5298,3356,3526,3684,3520,7775,"Eosinophils"
"2320",2060,4591,2407,1582,5338,5493,2247,3157,2678,1216,"CD56dim"
"2329",1913,4668,2924,1622,5443,5118,1098,3474,2395,1417,"CD56dim"
"2331",3068,2214,6840,5780,5507,1654,6447,2386,2655,1446,"CD4+CD8-"
"2333",2871,1631,6951,1471,5379,2588,5678,6279,2257,1265,"CD8+CD4-"
"2342",2380,3016,2133,1270,5551,5144,2723,5726,2789,1643,"CD56dim"
"2346",2604,2192,6793,5738,5553,2012,5670,1988,2304,1126,"CD4+CD8-"
"2347",2101,2096,3722,3944,5221,2807,3597,3584,4369,6723,"Eosinophils"
"2357",1786,4633,1706,4421,5014,5131,2039,5068,4721,3806,"Monocytes"
"2369",2773,1931,7018,1653,5834,3077,5487,6771,2974,1729,"CD8+CD4-"
"2372",2037,2193,7037,2891,5610,4328,4532,6147,2994,1648,"CD8+CD4-"
"2375",2261,4154,2064,1904,5444,5323,2192,5493,2732,1668,"CD56dim"
"2381",2241,2102,6983,1617,5510,1627,5172,4834,2317,1281,"TCRgd-"
"2385",1672,4118,1765,4063,5150,5079,3388,5041,4331,2932,"Monocytes"
"2390",2172,1742,6836,5755,5411,1921,5963,2350,2468,1038,"CD4+CD8-"
"2396",1485,3383,6790,5647,5144,1520,5505,2334,1888,1010,"CD4+CD8-"
"2402",1980,3645,1599,1917,5614,5367,1722,3394,2641,1345,"CD56dim"
"2416",2078,2972,6786,2720,5563,4476,3754,6276,2913,1772,"CD8+CD4-"
"2421",2355,5273,1964,1452,5267,5293,1492,3331,2589,1414,"CD56dim"
"2439",1562,2876,7080,5612,5300,1873,5767,2192,2425,1308,"CD4+CD8-"
"2465",2291,2612,6214,5855,5234,1907,5702,2581,2141,1102,"CD4+CD8-"
"2470",2449,2433,3704,4198,5223,3378,3444,3862,3813,7086,"Eosinophils"
"2474",1920,3085,2212,4060,5188,4779,970,4651,4844,3689,"Monocytes"
"2475",6318,2594,1451,6661,5206,2746,1560,5652,2275,1211,"Mature SIg Lambda"
"2481",1846,4672,3418,4382,4977,4791,2250,4892,3721,3677,"Monocytes"
"2495",2098,5606,1841,856,5521,4401,1721,2764,2724,1709,"CD56dim"
"2505",3158,1724,7000,1116,5474,1177,5698,6404,2244,1214,"CD8+CD4-"
"2560",2148,4254,2330,4331,4521,4561,1758,4539,3849,3724,"Monocytes"
"2569",1709,3808,1230,1558,5258,4432,2224,2990,2506,1527,"CD56dim"
"2578",1938,4245,740,1976,5585,4980,2161,3767,2578,1579,"CD56dim"
"2584",3058,1773,6887,5788,5366,1160,5715,2199,1962,1035,"CD4+CD8-"
"2596",2486,2833,3568,3958,5144,3111,3483,3436,3902,6556,"Eosinophils"
"2607",2461,3162,7308,5765,5378,1857,5952,2882,2469,1219,"CD4+CD8-"
"2626",1584,5362,2166,1315,5154,5189,2398,2884,2240,1348,"CD56dim"
"2636",2211,2833,6703,5755,5531,1239,6634,2718,2213,1286,"CD4+CD8-"
"2638",1981,4111,1991,4112,4725,4468,1876,4741,4288,3641,"Monocytes"
"2640",1896,4289,2915,4848,4876,4961,1093,4842,4338,3234,"Monocytes"
"2655",2231,3377,6872,2152,5621,2429,5313,6436,2806,1661,"CD8+CD4-"
"2671",2059,4328,1508,2013,5349,4260,1929,3348,2657,1496,"CD56dim"
"2679",2001,2935,4018,4131,5313,3319,3819,3917,4005,6981,"Eosinophils"
"2688",2525,1539,6847,2400,5645,1979,5229,6189,1941,1398,"CD8+CD4-"
"2692",5786,3022,2127,6913,5329,6964,4207,3394,2566,1118,"Mature SIg Kappa"
"2693",2064,2864,3797,4271,5361,3273,3014,3851,3778,7102,"Eosinophils"
"2708",1490,1609,6585,2425,5444,1522,5867,5425,2472,1227,"TCRgd-"
"2736",1841,4170,2280,1094,5061,6630,2715,3344,2690,1855,"CD56bright"
"2749",1971,5019,1474,2235,5281,5419,855,3212,2539,1696,"CD56dim"
"2762",2362,2838,6635,5747,5618,1350,5377,2523,2402,1265,"CD4+CD8-"
"2768",2699,3094,6638,5596,5232,2058,5561,2162,2106,949,"CD4+CD8-"
"2775",1265,2871,7004,5740,5391,1424,6038,2734,2616,1137,"CD4+CD8-"
"2786",1924,3438,6946,5566,5218,1791,5640,2713,2066,1035,"CD4+CD8-"
"2806",2119,2585,6721,1896,5605,2395,5587,6300,2536,1382,"CD8+CD4-"
"2807",1424,3055,6743,1544,5425,2036,5798,6458,2158,1390,"CD8+CD4-"
"2815",2611,2390,4045,4291,5224,3392,3826,4014,4159,7698,"Eosinophils"
"2820",1970,3792,3077,4049,4847,4213,1967,4561,4280,3137,"Monocytes"
"2837",1947,2510,6924,5673,5359,1059,5797,2276,2458,1246,"CD4+CD8-"
"2842",2220,553,6797,5730,5238,1341,5664,2597,2406,1143,"CD4+CD8-"
"2848",2664,860,7303,5808,5553,1235,5965,2220,2589,1311,"CD4+CD8-"
"2850",2020,3228,1823,1127,5111,6378,2263,2231,2395,1398,"CD56bright"
"2859",6245,2801,2362,6330,5251,6232,2050,3315,2111,1265,"Mature SIg Kappa"
"2869",543,3281,6556,5662,5515,1913,6284,2341,2467,1656,"CD4+CD8-"
"2871",1888,3416,6806,1564,5569,2422,3474,6219,2400,1151,"CD8+CD4-"
"2875",2926,5053,7086,5640,5144,1059,6047,1695,2138,1132,"CD4+CD8-"
