"","CD19/TCRgd:PE Cy7-A LOGICAL","CD4+CD20:PB-A LOGICAL","CD3:APC-A LOGICAL","CD38:APC H7-A LOGICAL","CD45:PO-A LOGICAL","CD5:PerCP Cy5-5-A LOGICAL","CD56+IgK:PE-A LOGICAL","CD8+IgL:FITC-A LOGICAL","FSC-A LINEAR","SSC-A Exp-SSC Low","Population ID (name)"
"479",4365,5239,3782,6455,5182,5007,3926,6392,1024,1022,"Mature SIg Lambda"
"486",2220,4127,6913,5833,5370,1574,5625,2180,1737,772,"CD4+CD8-"
"498",2037,2431,7058,6005,5669,1443,5769,2578,2442,1132,"CD4+CD8-"
"521",2483,3785,6853,5570,5334,1970,6231,2908,1711,865,"CD4+CD8-"
"526",2350,2081,6933,2189,5936,3634,6123,6489,2238,1463,"CD8+CD4-"
"545",2903,3094,6981,5956,5421,1799,6284,2457,1589,1126,"CD4+CD8-"
"546",2680,2216,6762,5885,5637,2186,6604,3110,2337,1309,"CD4+CD8-"
"547",5693,2670,3256,6396,5346,4939,2128,6535,1436,842,"Mature SIg Lambda"
"551",2884,4667,2974,3829,5256,5146,2077,5165,3318,3602,"Monocytes"
"554",2407,2619,3339,4466,5390,3318,3345,3742,4188,7489,"Eosinophils"
"584",2268,1120,7244,5992,5539,2265,4508,2711,2316,1229,"CD4+CD8-"
"587",2828,2804,6299,1901,5871,492,6472,6393,2266,1487,"CD8+CD4-"
"599",2083,3043,6626,2802,5310,3160,6115,5877,1945,1643,"CD8+CD4-"
"613",2534,2474,3447,4797,5477,3078,3787,3755,4363,7764,"Eosinophils"
"618",2039,4190,6964,5823,5521,2090,6308,2574,2081,807,"CD4+CD8-"
"633",4481,5533,3060,6509,5189,4178,3369,5661,1342,813,"Mature SIg Lambda"
"642",2525,2914,3467,4835,5380,3095,3403,3647,3801,7224,"Eosinophils"
"643",2503,2785,6674,1973,5523,1846,5732,6256,1509,879,"CD8+CD4-"
"646",2709,2558,3305,4469,5246,3228,3210,3648,4135,7479,"Eosinophils"
"647",2155,2362,6601,2535,5805,2267,6192,6322,2593,1401,"CD8+CD4-"
"653",5476,3013,3373,6223,5373,6241,3853,4813,1246,842,"Mature SIg Kappa"
"655",2558,2776,6760,5830,5512,2085,6051,2809,1908,1090,"CD4+CD8-"
"658",2511,4241,6614,2292,5476,2025,6057,6266,1907,1179,"CD8+CD4-"
"673",2195,1280,6987,5916,5626,2271,6478,2656,2820,1380,"CD4+CD8-"
"698",6562,2500,3176,6515,5356,4222,2384,5054,1552,801,"Mature SIg Lambda"
"706",2304,3988,6986,5695,5566,2020,5838,3031,1788,874,"CD4+CD8-"
"707",2089,2426,6905,5784,5479,1406,5945,2346,2443,1039,"CD4+CD8-"
"714",1884,1690,6548,1583,5869,2381,6513,6256,2208,1314,"CD8+CD4-"
"741",2406,4672,2403,3743,5548,5419,2755,5286,4545,2896,"Monocytes"
"747",2452,2460,6911,1312,5310,2279,5710,6124,1636,1056,"CD8+CD4-"
"765",2153,5004,3124,4028,5798,5332,3174,5600,4811,3132,"Monocytes"
"792",2539,4053,7081,5794,5461,2294,5904,2038,1866,1025,"CD4+CD8-"
"796",2461,4471,2641,2462,5350,5182,2322,5193,2984,2846,"Monocytes"
"809",2648,2350,3617,4639,5446,3275,4041,4089,4564,7246,"Eosinophils"
"814",2529,2529,6761,5689,5405,2274,5656,2707,2443,1331,"CD4+CD8-"
"817",2722,3684,6761,2044,5481,2013,6065,6125,1728,1185,"CD8+CD4-"
"820",1964,3245,6748,1715,5572,2659,6088,6205,1820,1331,"CD8+CD4-"
"824",2835,3796,7017,5851,5504,2118,6137,2469,1480,1034,"CD4+CD8-"
"838",2096,1140,7009,5932,5658,1853,5310,2389,2403,1466,"CD4+CD8-"
"841",3868,2446,3333,5055,4529,3005,2335,2874,1362,807,"Mature SIg Lambda"
"846",1061,2795,7029,2006,5488,2747,6058,6156,1601,1104,"CD8+CD4-"
"859",2109,3711,5959,3180,5165,2018,5339,5462,956,810,"CD8+CD4-"
"861",2844,4318,3386,3590,5355,5188,2573,5162,3093,3921,"Monocytes"
"869",1682,3016,7021,5778,5341,2404,6004,2424,1659,1056,"CD4+CD8-"
"877",3176,4231,6307,3649,4929,5174,5397,5655,893,1775,"CD8+CD4-"
"881",2734,2626,7060,5967,5604,1807,5978,2100,1635,1112,"CD4+CD8-"
"895",3914,5040,3949,4275,5689,5240,2802,5254,3526,4587,"Monocytes"
"898",2919,2866,6765,1859,5590,2241,6766,5852,2572,1190,"CD8+CD4-"
"905",1112,2720,6630,5856,5416,1495,6588,2465,2652,885,"CD4+CD8-"
"920",3437,1147,6811,5798,5528,1911,6246,2472,2012,1188,"CD4+CD8-"
"925",2319,4408,6678,5533,5189,1642,6138,1602,1659,833,"CD4+CD8-"
"927",2252,2793,6484,2116,5489,1634,5992,6214,1599,1042,"CD8+CD4-"
"932",2131,1399,7162,5951,5567,1462,5832,2262,1941,851,"CD4+CD8-"
"937",1808,2786,6587,5726,5418,2329,6474,2231,2284,1143,"CD4+CD8-"
"938",4033,4391,3662,4231,5581,5068,1781,5123,3213,3519,"Monocytes"
"951",2664,2320,3615,4391,5381,3221,3425,3587,4216,7181,"Eosinophils"
"956",1818,1138,6714,5765,5568,1995,6568,2617,2211,1344,"CD4+CD8-"
"958",3761,2944,4092,4888,5267,3615,4063,4369,2947,7199,"Eosinophils"
"959",2519,2075,3406,4640,5220,3252,3704,3827,4431,7176,"Eosinophils"
"965",2211,3661,7143,5845,5300,1776,5752,2479,1384,888,"CD4+CD8-"
"966",2164,2581,6843,5794,5591,1849,6565,2023,1787,1171,"CD4+CD8-"
"981",5776,3626,2422,6505,5491,3957,3883,6441,1321,781,"Mature SIg Lambda"
"1007",2394,1705,7234,5793,5359,1852,5824,2367,1408,784,"CD4+CD8-"
"1012",2611,3915,6437,2984,5784,3229,6273,6361,2337,2271,"CD8+CD4-"
"1014",2620,3219,6904,5840,5611,1522,6298,2506,1543,902,"CD4+CD8-"
"1025",2507,5151,1570,3371,5641,5303,2480,5292,5636,2588,"Monocytes"
"1037",2281,2929,7075,6009,5647,1776,5750,2649,2139,1479,"CD4+CD8-"
"1061",2173,2682,6984,5861,5538,2024,6271,1763,2329,1254,"CD4+CD8-"
"1065",1904,1417,6743,5774,5434,2032,5504,2210,1576,888,"CD4+CD8-"
"1085",2934,3063,7157,5862,5677,2000,5852,2305,2131,1447,"CD4+CD8-"
"1092",2185,2269,7071,1239,5910,3956,6075,6493,2020,1578,"CD8+CD4-"
"1099",3358,4090,3463,3902,5419,5075,2122,5106,3819,3212,"Monocytes"
"1105",5592,2388,3512,5916,5250,3612,2761,5009,1425,1143,"Mature SIg Lambda"
"1108",1417,4001,6595,5590,5401,2108,5638,2438,2090,1110,"CD4+CD8-"
"1116",2400,2900,5297,1785,4359,2739,4679,3667,957,985,"TCRgd-"
"1124",3764,3123,3561,5538,4813,3852,2523,4842,1350,1132,"Mature SIg Lambda"
"1139",1626,4394,6764,2375,5441,2647,5950,6074,1873,1163,"CD8+CD4-"
"1149",2288,4703,7181,5959,5519,2133,6012,1676,1758,911,"CD4+CD8-"
"1158",2284,1883,6732,4138,5515,900,5804,5935,1744,885,"CD8+CD4-"
"1160",2815,2548,7168,5829,5394,1863,6442,2549,1871,1121,"CD4+CD8-"
"1164",2855,4277,3224,3855,5503,5483,2383,5399,3921,3717,"Monocytes"
"1165",2510,3069,3465,4653,5475,3837,4441,4119,4320,7347,"Eosinophils"
"1169",2198,2639,6394,5742,5501,1781,6508,2079,2016,1374,"CD4+CD8-"
"1177",2546,4571,6796,5879,5453,3078,6178,3044,1409,1218,"CD4+CD8-"
"1179",1803,1236,6832,6000,5638,1575,5955,2766,2068,1062,"CD4+CD8-"
"1187",2785,1993,6472,2198,5304,1750,5824,6023,1771,810,"CD8+CD4-"
"1189",2513,2744,6955,5922,5494,2364,6343,1754,1895,994,"CD4+CD8-"
"1198",2465,2769,6327,5860,5475,2191,5427,2239,2187,1428,"CD4+CD8-"
"1202",2258,3050,3277,4310,5271,2695,3426,3627,4125,7059,"Eosinophils"
"1207",2313,2022,7022,5653,5493,1751,5566,2229,1446,908,"CD4+CD8-"
"1210",2390,2316,3491,4342,5291,2954,3355,3762,4249,7116,"Eosinophils"
"1215",5563,3752,2540,6426,5284,4123,2587,6151,1388,897,"Mature SIg Lambda"
"1244",1802,1686,6418,2290,5730,1144,6342,6262,2068,1431,"CD8+CD4-"
"1251",4673,2580,2577,5633,4728,3703,2672,2390,1340,1235,"Mature SIg Kappa"
"1252",4483,4395,2833,5778,5208,5591,3688,5434,1522,813,"Mature SIg Kappa"
"1255",2200,1507,6493,5780,5577,2743,6553,2033,2153,1005,"CD4+CD8-"
"1258",2719,4121,2807,3572,5510,5324,3143,5579,5048,2866,"Monocytes"
"1260",2268,3405,6786,2385,5519,1575,6079,6201,1878,1135,"CD8+CD4-"
"1262",3027,4313,7165,5867,5458,1912,6003,2214,2150,1008,"CD4+CD8-"
"1266",2588,3425,6734,1984,5451,2278,5924,6035,1456,879,"CD8+CD4-"
"1284",2987,1176,6861,5931,5668,2112,6314,2785,1682,1008,"CD4+CD8-"
"1290",3496,1336,6616,6068,5784,2036,6901,1939,2412,1659,"CD4+CD8-"
"1303",5100,1809,2559,5957,4783,5806,2579,3200,3124,917,"Mature SIg Kappa"
"1308",2335,2517,6423,5799,5705,2002,6609,2357,2267,1059,"CD4+CD8-"
"1316",2078,1518,7106,5893,5486,1703,6620,2847,2400,1295,"CD4+CD8-"
"1336",2772,3870,7035,5913,5674,1882,5935,2768,1795,1328,"CD4+CD8-"
"1343",1986,4805,7002,5726,5371,1923,6086,1705,1555,708,"CD4+CD8-"
"1344",2330,2870,6622,2015,5597,2556,6036,6275,1895,1056,"CD8+CD4-"
"1345",2978,2862,3923,4771,5393,3765,4211,4145,3504,8021,"Eosinophils"
"1357",4162,3077,3682,4833,5402,3643,4016,4081,4518,7451,"Eosinophils"
"1360",5820,2732,2543,5922,5441,5583,3575,4005,1968,1039,"Mature SIg Kappa"
"1367",2169,4988,2103,3775,5470,5155,3386,4998,2784,2776,"Monocytes"
"1375",2254,3587,6916,5706,5328,1933,5946,2184,2050,807,"CD4+CD8-"
"1380",2800,4591,6888,5920,5434,1960,5850,2584,1766,948,"CD4+CD8-"
"1390",2277,4692,7246,5839,5393,1881,5920,2695,1985,923,"CD4+CD8-"
"1391",3169,4931,3346,4851,5732,5345,2909,5673,5097,2712,"Monocytes"
"1396",2133,4715,7352,5899,5423,2048,5716,2414,1341,1008,"CD4+CD8-"
"1397",2942,2571,6765,5866,5473,1391,6386,2535,2340,923,"CD4+CD8-"
"1404",2948,4816,3288,4064,5785,5206,2295,5398,4949,3157,"Monocytes"
"1415",2739,4170,6782,5871,5392,1969,5977,2313,1463,804,"CD4+CD8-"
"1422",1982,4642,7301,5816,5343,2389,5532,1993,1511,824,"CD4+CD8-"
"1424",2091,3576,6896,936,5505,2004,6090,6260,1628,1034,"CD8+CD4-"
"1425",2549,3945,6741,5630,5291,2247,5876,1914,1443,1070,"CD4+CD8-"
"1429",3402,1184,6968,5893,5616,1985,6565,2540,1556,1163,"CD4+CD8-"
"1431",1702,3170,6801,5811,5479,1883,6464,2420,1976,1190,"CD4+CD8-"
"1433",3423,4296,2724,4743,5457,4943,3186,5485,3565,3616,"Monocytes"
"1436",2030,1800,6906,5885,5640,1886,6172,2439,2275,1157,"CD4+CD8-"
"1449",5357,3416,3024,6040,4591,5592,3554,4300,1364,1317,"Mature SIg Kappa"
"1453",2737,4223,2879,3426,5268,5365,3337,5352,3766,4155,"Monocytes"
"1456",5977,3854,3214,6659,4799,6439,4276,6049,1019,1372,"Mature SIg Kappa"
"1465",3122,2642,6747,2140,5770,1752,6275,6246,2162,1551,"CD8+CD4-"
"1478",2148,1850,7150,5825,5524,2077,5643,2173,2185,1011,"CD4+CD8-"
"1483",5591,2494,3247,6282,4856,3356,2973,5902,1709,1124,"Mature SIg Lambda"
"1486",2558,4421,2979,3903,5412,5422,3004,5210,3676,3527,"Monocytes"
"1500",2719,2649,3562,4848,5536,3423,3944,4168,4237,8102,"Eosinophils"
"1501",3451,1589,6810,5860,5385,2050,6316,1747,1976,905,"CD4+CD8-"
"1524",1721,3504,6520,5863,5493,1939,6586,1922,1871,1355,"CD4+CD8-"
"1534",5717,4294,2569,6421,5122,4222,5006,5674,1416,755,"Mature SIg Lambda"
"1538",5430,3037,2780,6060,5257,4524,2620,5057,1530,719,"Mature SIg Lambda"
"1545",2061,2703,6624,4586,5513,2502,6068,6340,2562,1546,"CD8+CD4-"
"1552",4991,2798,2591,5646,5059,5377,1789,4817,1241,595,"Mature SIg Kappa"
"1584",2020,2780,6945,5528,5331,1827,5590,2704,1439,836,"CD4+CD8-"
"1599",1705,3464,6675,5782,5606,1857,6479,2211,1811,1240,"CD4+CD8-"
"1602",2349,2370,6738,5737,5383,2017,6394,2262,3415,937,"CD4+CD8-"
"1603",2830,4711,2531,3444,5495,5339,2550,5290,5107,3374,"Monocytes"
"1612",2468,2480,6932,5876,5557,1658,5872,2193,2168,1246,"CD4+CD8-"
"1623",6308,2944,3049,6877,5611,6043,1459,4145,2468,1479,"Mature SIg Kappa"
"1626",2376,4241,2944,3771,5729,5415,3387,5525,2852,3750,"Monocytes"
"1641",2150,3781,7065,6015,5730,1749,6171,2513,1620,982,"CD4+CD8-"
"1642",2572,3542,6523,2805,5113,3640,5520,5000,1781,1654,"CD8+CD4-"
"1647",2525,1088,7081,5667,5464,1279,5587,2845,2461,1271,"CD4+CD8-"
"1649",2027,1937,7081,5983,5653,2483,5406,2622,1789,1482,"CD4+CD8-"
"1657",2037,2774,6801,1525,5492,2541,6203,5950,2301,1154,"CD8+CD4-"
"1677",2093,4068,7175,5803,5460,1142,6034,2342,1413,801,"CD4+CD8-"
"1682",2661,4947,1944,3419,5302,5540,3519,5611,3566,3884,"Monocytes"
"1693",3019,1490,6974,5837,5527,1753,6109,2042,1674,1207,"CD4+CD8-"
"1713",1763,4253,7331,5951,5442,2406,6198,2307,1563,1036,"CD4+CD8-"
"1723",5540,2961,2957,5666,5225,5803,3444,3710,1830,923,"Mature SIg Kappa"
"1737",2484,2666,3746,4895,5538,3715,4261,3912,4343,8053,"Eosinophils"
"1758",1953,1284,7129,5882,5499,1385,5543,3391,2222,1333,"CD4+CD8-"
"1761",2451,5562,6074,1907,4786,3725,5173,3864,1815,1682,"TCRgd-"
"1764",2862,3868,6975,5844,5359,1691,5672,2195,1536,628,"CD4+CD8-"
"1766",2147,4369,3500,4916,5663,5461,3194,5491,4150,4309,"Monocytes"
"1772",2617,3338,7091,5796,5446,2223,6130,1414,1866,801,"CD4+CD8-"
"1776",2796,3786,6890,5822,5500,1917,5812,2852,1786,1185,"CD4+CD8-"
"1793",2524,3479,3768,4949,5611,3829,4469,4188,3674,8191,"Eosinophils"
"1820",2129,984,7097,5561,5112,2288,5205,2477,1208,740,"CD4+CD8-"
"1825",1851,3591,6842,1875,5704,1582,6069,6371,1943,1260,"CD8+CD4-"
"1833",2300,2932,3286,4624,5329,3094,3790,4038,3994,6814,"Eosinophils"
"1834",1996,1800,6890,6028,5632,2527,6279,3893,2195,1363,"CD4+CD8-"
"1835",5492,2438,2720,5630,4902,5772,1252,4984,1297,681,"Mature SIg Kappa"
"1836",1386,3743,6527,5856,5655,2110,7072,2553,2403,1279,"CD4+CD8-"
"1839",2115,2567,6658,5907,5533,2211,6203,2097,1563,1271,"CD4+CD8-"
"1845",2426,4451,7373,5986,5599,1820,6019,2609,1831,1163,"CD4+CD8-"
"1849",2346,3199,6645,5846,5397,1922,6178,3170,1631,1039,"CD4+CD8-"
"1851",1926,3772,6893,5864,5450,2008,6102,2074,1562,827,"CD4+CD8-"
"1859",1560,2614,6690,1750,5899,1237,5563,6296,2150,1273,"CD8+CD4-"
"1860",1923,2467,6481,5715,5313,3057,6555,3644,2045,1361,"CD4+CD8-"
"1863",2567,2582,2675,4330,5328,3339,3795,3818,4191,7315,"Eosinophils"
"1880",3006,2803,6897,1805,5504,2133,5980,5773,1899,1090,"CD8+CD4-"
"1881",1906,4218,6356,5977,5531,2050,5947,2330,1463,848,"CD4+CD8-"
"1894",2238,3391,6768,2570,5855,2200,5610,6262,1971,1525,"CD8+CD4-"
"1905",2507,4309,2512,4713,5490,5197,2862,5171,3190,3784,"Monocytes"
"1912",1344,2312,7006,2027,5560,1976,6356,6301,1917,1174,"CD8+CD4-"
"1923",1733,1764,6628,2113,5791,3224,6303,6453,2130,1428,"CD8+CD4-"
"1925",1073,2803,6586,5747,5630,1632,6368,2468,2176,1390,"CD4+CD8-"
"1934",1928,1836,6885,5907,5666,1834,5809,2617,2030,1199,"CD4+CD8-"
"1945",2048,1273,7101,6039,5578,2531,5164,2849,2004,1460,"CD4+CD8-"
"1959",2427,1495,7123,5858,5506,1759,5629,1879,2185,923,"CD4+CD8-"
"1961",2420,2265,3341,4767,5460,3620,4244,4162,4186,8191,"Eosinophils"
"1969",5777,3817,2823,6105,5206,3410,2051,4412,1051,705,"Mature SIg Lambda"
"1970",3199,4490,3486,4511,5353,5128,2409,5127,3263,4087,"Monocytes"
"1974",3851,4522,4659,4132,4804,5216,4270,4051,1109,1609,"Mature SIg Kappa"
"1978",2197,4179,6758,1239,5522,2219,6244,6225,2040,1019,"CD8+CD4-"
"1989",1852,2906,6639,1744,5529,1517,5689,6117,1787,937,"CD8+CD4-"
"1998",2326,2953,6823,1036,5401,2087,6083,6118,1485,1017,"CD8+CD4-"
"2001",2840,4152,3112,3697,5369,5260,3368,5316,3547,4866,"Monocytes"
"2012",3102,2988,6825,5854,5485,1932,6388,1817,2501,1025,"CD4+CD8-"
"2051",2011,1771,6560,5589,5458,1495,6010,2647,1903,1174,"CD4+CD8-"
"2056",2713,2470,6818,5689,5447,1966,5937,2437,1393,813,"CD4+CD8-"
"2070",2816,2785,7264,2098,5664,1902,5941,6177,2261,1235,"CD8+CD4-"
"2071",3501,5313,7015,5729,5280,1821,6069,1969,1457,940,"CD4+CD8-"
"2074",2869,4467,6952,5846,5429,1673,6257,2032,1414,934,"CD4+CD8-"
"2083",1284,403,6962,5821,5445,2447,6170,2277,2648,1271,"CD4+CD8-"
"2093",2023,3402,3428,4606,5485,3425,4074,3824,5258,8191,"Eosinophils"
"2101",2782,4297,2372,2789,5371,5358,1431,5209,5375,2572,"Monocytes"
"2129",3207,3371,3817,4775,5462,3696,4183,4322,3281,7193,"Eosinophils"
"2131",5675,4184,2734,6292,5431,7028,2836,6078,1650,859,"Mature SIg Kappa"
"2165",3223,1260,6793,5850,5613,2200,6512,2638,2057,1287,"CD4+CD8-"
"2170",1590,2763,6734,5801,5516,2223,5576,2836,2238,1320,"CD4+CD8-"
"2176",1923,2391,6889,5970,5604,2231,6193,2666,2473,1306,"CD4+CD8-"
"2177",2275,3765,7052,5863,5244,2116,6401,2623,2169,1701,"CD4+CD8-"
"2178",2581,2643,2190,4428,5279,3189,3557,3524,4097,7114,"Eosinophils"
"2189",2070,2603,3317,4465,5340,3266,3727,3938,4449,7446,"Eosinophils"
"2197",3032,2816,3844,4758,5485,3588,3442,4112,4271,7740,"Eosinophils"
"2237",5797,3140,2487,6217,4844,5668,2932,4217,1524,911,"Mature SIg Kappa"
"2239",2172,1148,6712,6020,5804,2117,6540,1810,2156,1328,"CD4+CD8-"
"2264",2412,1680,6779,936,5729,2625,5832,6217,2339,1235,"CD8+CD4-"
"2277",1776,3286,6714,2324,5391,1399,5950,6168,1592,1017,"CD8+CD4-"
"2278",2154,3199,6928,5866,5582,2066,6612,2544,2499,1271,"CD4+CD8-"
"2280",2467,2071,7122,5704,5373,1775,5326,2785,1827,908,"CD4+CD8-"
"2282",3042,3257,5128,4593,5529,5075,2961,5812,3255,3155,"Monocytes"
"2285",1655,4386,7188,5777,5339,2070,5931,2151,1834,1118,"CD4+CD8-"
"2296",1958,1598,7019,5936,5541,1465,5986,2411,1563,1096,"CD4+CD8-"
"2309",2215,2478,6551,5927,5747,1821,6676,3177,2097,1490,"CD4+CD8-"
"2330",2366,4110,7283,6086,5650,1756,5768,2260,1718,1101,"CD4+CD8-"
"2335",2945,4784,3983,3481,5388,5362,1799,5539,5169,2504,"Monocytes"
"2338",6264,2497,3217,6666,5456,5932,3731,3201,1814,1463,"Mature SIg Kappa"
"2350",2270,2960,6603,1541,5419,2575,5875,6182,1513,902,"CD8+CD4-"
"2369",2598,1034,6821,6089,5673,2116,6472,2789,2497,1336,"CD4+CD8-"
"2378",1778,3055,6975,6000,5687,2051,6274,2554,2137,1447,"CD4+CD8-"
"2388",2764,1155,7072,5994,5511,2509,6513,2617,1816,1042,"CD4+CD8-"
"2391",2023,3458,6796,5747,5558,1702,6546,2270,2525,1034,"CD4+CD8-"
"2395",2765,2603,6821,1773,5758,2741,5545,6295,2281,1546,"CD8+CD4-"
"2398",1877,1898,7098,5677,5294,2103,5662,1938,1658,882,"CD4+CD8-"
"2399",2293,3423,7052,6081,5809,2101,6349,2847,2225,1806,"CD4+CD8-"
"2402",2328,2190,3418,4887,5487,3599,3927,3956,4219,8191,"Eosinophils"
"2405",1580,2950,7082,6052,5629,2136,6471,2433,2172,1281,"CD4+CD8-"
"2406",2215,2248,6361,4079,5467,1880,5241,6102,1557,1224,"CD8+CD4-"
"2409",2123,2539,2769,4731,5425,3366,3896,3827,4027,6974,"Eosinophils"
"2417",2161,5765,7251,5491,5231,2194,6156,2813,1536,1140,"CD4+CD8-"
"2418",2134,1982,6836,1889,5651,1954,5366,6403,2015,1667,"CD8+CD4-"
"2424",3169,1849,7348,5784,5394,2006,5578,1688,1540,795,"CD4+CD8-"
"2429",1753,2793,6972,5699,5372,2471,6002,2507,1698,977,"CD4+CD8-"
